Sleepless in Seattle

 SAM	Mommy got sick and it happened  just like that and there was  nothing anybody would do.
 BARBARA	 It was, wasn't it, Miltondarling --
 BETSY	 When are you getting married,Annie?
 CLIFF	 In early June.  In the garden.
 HAROLD	 Does it have to be in the garden?
 IRENE	 What about Harold and bees?
 BARBARA	 We'll spray you.
 CLIFF	 Cold salmon.  A lovely cucumbersalad.  Strawberries.
 WALTER	 I'm afraid I'm allergic tostrawberries.
 CLIFF	 No strawberries.
 ANNIE	 Is that all right with you?
 WALTER	 Today I consider myself theluckiest man on the face ofthe earth.
 IRENE	 What are you wearing?
 ANNIE	 I don't know.
 BETSY	 I wish you would wear my dress. I only wore it once, and you'llbarely have to do anything toit except take it in in thebust --
 BARBARA	 I have something that might do
 BARBARA	 The Historical Society wantedthis and I never would give itto them --
 ANNIE	 Granny's dress.  Oh, Mom.
 BARBARA	 I notice these things are backin fashion.  Oh, honey.  He's a lovely man, Annie.
 ANNIE	 I know.  He's wonderful, isn'the?
 BARBARA	 Are his folks nice?
 ANNIE	 You'll love them.  We're goingdown to D.C.  tonight to be withthem Christmas morning.
 BARBARA	 How did it happen?
 ANNIE	 It's silly, really.  I mean,I'd seen him at the office,obviously I'd seen him, he'sthe associate publisher, andthen one day we both orderedsandwiches from the same place,and he got my lettuce andtomato sandwich on whole wheat,which of course he was allergicto, and I got his lettuce andtomato on white.
 BARBARA	 How amazing.
 ANNIE	 It is, isn't it? You makemillions of decisions that meannothing and then one day youdecide to order takeout and itchanges your life.
 BARBARA	 Destiny takes a hand.
 ANNIE	 Oh, please.  Destiny's justsomething we've inventedbecause we can't stand the factthat everything that happens isaccidental.
 BARBARA	 Then how do you explain thatyou both ordered exactly thesame sandwich except for thebread? How many people in thisworld like lettuce and tomatowithout something else liketuna?
 ANNIE	 It wasn't a sign.  It was acoincidence.
 BARBARA	 I was in Atlantic City with myfamily.  Cliff was a waiter. He talked me into sneaking outfor a midnight walk on theSteel Pier.  I've probably toldyou this a million times, butI don't care.  And then he heldmy hand.  I was scared.  Allsorts of thing were goingthrough my head.  But after awhile I forgot about them.  Atone point I looked down, at ourhands, and I couldn't tellwhich fingers were mine andwhich were his.  And I knew.
 ANNIE	 What?
 BARBARA	 You know.
 ANNIE	 What?
 BARBARA	 Magic.  It was magic.
 ANNIE	 Magic.
 BARBARA	 I knew we would be togetherforever, and that everythingwould be wonderful, just theway you feel about Walter. Walter.  It's quite a formalname, isn't it?  One of the things I truly knewwas that your father and I weregoing to have a wonderful time  ... in the sack I believe youcall it --
 ANNIE	 Mom!
 BARBARA	 Of course it took several yearsbefore everything worked likeclockwork in that department,so don't be worried if it takesa while --
 ANNIE	 Mom, we already...
 BARBARA	 Well, fine, fine.  Fiddle dadee.  And how's it working?
 ANNIE	 Like... clockwork.
 BARBARA	 So you'll get married in a newdress.
 ANNIE	 It's a sign.
 BARBARA	 You don't believe in signs.
 ANNIE	 They loved you.  I told youthey would love you and theydid.
 WALTER	 I love you.
 ANNIE	 I love you, Walter.  Did anyone ever call youanything other than Walter?
 WALTER	 Nope.
 ANNIE	 Even when you were young?
 WALTER	 Nope.  Not even when I wasyoung.
 WALTER	 You sure you don't want todrive with me?
 ANNIE	 How will I get back toBaltimore Saturday?  Oh God, I forgot my present foryour stepmother -- I took itinside by accident.
 WALTER	 I'll wait.
 ANNIE	 Don't be silly.  I'll just beten minutes behind you.
 DR. MARSHA'S FIELDSTONE'S VOICE	 Welcome back to "You and YourEmotions." I'm Dr.  MarciaFieldstone broadcasting acrossAmerica from the top of theSears Tower in Chicago where wewould have a fantastic view ofSanta Claus and his reindeer ifthere was a -- oops, nevermind.  Tonight we're talkingabout wishes and dreams. What's your wishes this ChristmasEve? Maybe the best presentyou can give yourself is a callto me.  The number is --
 ANNIE	 Give me a break.
 RADIO VOICE	 The subject of the evening'smedical update is You and YourSpleen and our host --
 DR. MARCIA FIELDSTONE	 Our caller is from Seattle.
 RADIO VOICE	 Coming up, Jingle Bellsbackwards, sung by the NewJersey Cape Mayettes --
 BOY'S VOICE	 Hello, this is Jonah --
 DR. MARCIA FIELDSTONE	 No last names, Jonah.  Hellothere, you sound younger thanour usual callers.  How comeyou're up so late?
 JONAH	 It's not that late in Seattle.
 DR. MARCIA FIELDSTONE	 Got me there.  What's yourChristmas wish, Jonah?
 JONAH	 It's not for me.  It's for mydad.  I think he needs a newwife.
 DR. MARCIA FIELDSTONE	 You don't like the one he wasnow?
 JONAH	 He doesn't have one now. That's the problem.
 DR. MARCIA FIELDSTONE	 Where's your mom?
 JONAH	 She died.
 ANNIE	 I don't believe this --
 DR. MARCIA FIELDSTONE	 I'm sorry to hear that, Jonah.
 JONAH	 I've been pretty sad, but Ithink my dad is worse.
 DR. MARCIA FIELDSTONE	 And you're worried about him.
 JONAH	 I'm worried about him, he'sworried about me, I ride mybike to school, he follows inthe car, like I'm not supposedto know he's there.  Now it'sChristmas, and you know whathappens to people at Christmas.
 ANNIE	 They lose their minds and callcrackpot doctors on the radio --
 DR. MARCIA FIELDSTONE	 Have you talked to your dadabout this?
 JONAH	 No.
 DR. MARCIA FIELDSTONE	 Why not?
 JONAH	 It's very hard for him to talkabout this stuff.  It's like itmakes him sadder.
 DR. MARCIA FIELDSTONE	 You want me to talk to him?
 ANNIE	 Perfect.  Sandbag the father.
 JONAH	 And you crazy? He thinks showslike this are dumb.  If youdidn't have an 800 number Icould never get away with this
 DR. MARCIA FIELDSTONE	 Is he home right now?
 JONAH	 Yeah.
 DR. MARCIA FIELDSTONE	 Well, I think I can help alittle more if I talk to himdirectly.
 JONAH	 I don't know --
 DR. MARCIA FIELDSTONE	 I'm sure he won't be angry oncehe realizes how concerned youare about him.
 JONAH	 Okay, but if I get yelled at,I'm never gonna listen to thisshow again.
 DR. MARCIA FIELDSTONE	 Fair enough.
 JONAH	 Dad --
 SAM	 What is it?
 JONAH	 There's somebody on the phonefor you.  His name is Sam.
 ANNIE	 This is completely disgusting.
 SAM	 Hello.
 DR. MARCIA FIELDSTONE	 Hello, Sam, this is Dr. MarciaFieldstone on Network America.
 SAM	 I'm probably not interested inwhatever you're selling.
 DR. MARCIA FIELDSTONE	 I'm not selling anything.  Yourson called and asked for adviceon how to find you a new wife.
 SAM	 Who is this?
 DR. MARCIA FIELDSTONE	 Dr. Marcia Fieldstone ofNetwork America.
 SAM	 Jesus, are we on the air?Jonah, for God's sake --
 JONAH	 Don't be mad at me, Dad.
 DR. MARCIA FIELDSTONE	 He feels that since your wife'sdeath you've been very unhappy.He's genuinely worried about you.
 SAM	 I'm not mad at you.  Okay, I'mnot mad at you.
 DR. MARCIA FIELDSTONE	 I think it's hard for him totalk to you about all this. Maybe we could talk and itwould make him feel a littlebetter.
 JONAH	 Please --
 ANNIE	 This is a grotesque violationof this man's personal life,but never mind --
 SAM	 All righ...
 DR. MARCIA FIELDSTONE	 Good.  How long ago did yourwife die?
 SAM	 It's been about a year and ahalf.
 DR. MARCIA FIELDSTONE	 Have you had any relationshipsince?
 SAM	 No.
 DR. MARCIA FIELDSTONE	 Why not?
 SAM	 Look, Doctor, I don't want tobe rude, but --
 DR. MARCIA FIELDSTONE	 And I don't want to invade yourprivacy --
 ANNIE	 Sure you do.
 SAM	 Sure you do --
 SAM	 Look, we had a tough time atfirst, but I think I'm holdingmy own as a dad, and Jonah andI will get along fine again assoon as I break his radio.
 DR. MARCIA FIELDSTONE	 I have no doubt that you're agood dad.  You can tell a lotfrom a person's voice.  Butsomething must be missing ifJonah feels that you're stillunder a cloud.
 JONAH	 Tell her how you don't sleep atnight.
 SAM	 How do you know that?
 JONAH	 I can hear you walking aroundsometimes.  At first I thoughtit was a robber.  Go ahead,tell her, Dad.
 SAM	 I don't think I have to now.
 SAM	 Look, it's almost Christmas --  A kid needs a mother --
 DR. MARCIA FIELDSTONE	 Could it be that you needsomeone just as much as Jonahdoes?
 ANNIE	 Yes.
 ANNIE	 I'm losing my mind.
 DR. MARCIA FIELDSTONE	 We've been talking to -- well,let's just call him Sleeplessin Seattle, and we'll be rightback after this break withlistener response, yourresponse, to the things we'vebeen discussing.  The number tocall is...
 SAM	 What's she talking about?
 JONAH	 This is where other people getto call in and dump on what yousaid.
 LORETTA	 I'll bet he's tall, with a cutebutt.
 HARRIET	 I'll bet he hasn't shaved in aweek.  I'll bet he stinks.
 LORETTA	 Shut up, Harriet.  What'll it be?
 ANNIE	 Coffee, please.  Black.  To go.
 LORETTA	 Maybe I should hustle myselfout to Seattle.  Give him alittle present for New Year'sEve.
 HARRIET	 You can go there if you wantbut don't open his refrigerator. They don't cover anything whenthey put it in the fridge. They just stick it in and leaveit there till it walks out byitself.
 LORETTA	 Harriet, ever since youdivorced your last husband,you've been no fun.  I'mlooking, and this guy pops mytarts.
 TRUCK DRIVER	 Come on, Loretta, you're goingto have to jump-start this guy. His battery's dead.  And lookat me.  Mister Ever-Ready. Every six minutes, anothercharge.
 LORETTA	 I'm looking for someonesensitive.
 ANNIE	 Come on, nobody wants a guywho's sensitive on the radio.
 DR. MARCIA FIELDSTONE	 Let's take a call before we getback to Sleepless.  Knoxville,Tennessee, you're on.
 SWEET SOUTHERN VOICE	 Yes, I would just like to knowwhere I could get this man'saddress?
 LORETTA	 Honey, get on line.
 DR. MARCIA FIELDSTONE	 Do you think there's somebodyout there you could love asmuch as your wife? Maybe evenmore?
 SAM	 It's hard to imagine.
 DR. MARCIA FIELDSTONE	 What are you going to do, Sam?
 SAM	 I don't know.  When I met mywife, it was so clear.  I justknew.
 DR. MARCIA FIELDSTONE	 What was it that made you know?
 SAM	 I don't think I could reallydescribe it.
 DR. MARCIA FIELDSTONE	 Why not?
 SAM	 And if I could describe it,it probably wouldn't be on a radioshow.  But what the hell.  It's notone specific thing.  It's moreof a feeling.
 SAM	 You touch her for the firsttime, and suddenly... you'rehome.  It's almost like...
 ANNIE	 Magic.
 SAM	 Magic.
 DR. MARCIA FIELDSTONE	 Well, it's time to wrap up,folks --
 DR. MARCIA FIELDSTONE	 We hope you'll call again soon.
 WALTER	 Annie?
 DR. MARCIA FIELDSTONE
 WALTER	 Annie?
 ANNIE	 I'm sorry, Walter.  I justheard the most amazing thing onthe radio.
 ANNIE	 People call up these shows andyou can't believe the stuffthey say.  It's the end ofprivacy as we know it, thiscountry is just one big globalvillage with everyone out theregoing blah blah blah --
 SAM	 The hopes are perfect --beautiful, identical, smooth --and they are for somethingreally amazing I feel it in mybones --
 JONAH	 It's a spice rack.
 SAM	 We desperately need a spicerack.  Desperately.
 SAM	 And we desperately need spices.
 JONAH	 Dad?  About last night?
 SAM	 It's never happening again. Right?
 JONAH	 Right.
 SAM	 Then it never happened.
 SAM	 Hi.
 LULU	 Hi.  Sam?
 SAM	 Yes?
 LULU	 You must be Jonah.
 LULU	 See.  I told you.  Sam andJonah.  I'm LULU.  This isJoBeth.
 LULU	 We live two piers over, don'twe? Number 12, right? We'rehaving like a really neat openhouse today from like four towhenever if you care to stopby.
 SAM	 Thanks, but... we've got plans.
 LULU	 Well, here's the number.  Ifyou ever find yourselfSleepless, give us a call.  Wealso... do babysitting.
 JONAH	 Not.
 SAM	 My feelings exactly.
 SAM	 How many people do you thinkheard that thing last night?
 JONAH	 It plays in 50 states.
 SAM	 What?!
 JONAH	 Nobody else is going to know itwas us.
 SAM	 You're right.  You better hope so.
 KEITH	 This man sells the greatestsoup you've ever eaten, there'sa line around the block, and heis, I am not kidding, the meanestman in America.  I feel strongly about this,Becky.  This is not just aboutsoup.
 BECKY	 Do it.  What else?
 WYATT	 New Year's Eve.  Please don'tmake me write it.
 BECKY	 Wyatt, I do not mean to remindyou of your mother, but if youdon't put that game away, no TVfor a week.
 WYATT	 Would someone look this up,don't tell me where.
 BECKY	 Listen to this.  Phone servicein the greater Chicago area wastied up for two hours ChristmasEve because some kid called aphone-in show to get a wife forhis father.  Two thousand womencalled in for the number.
 KEITH	 Jesus.
 ANNIE	 I heard it.  This kid calls upand says my dad needs a wifeand I'm talking to myself inthe car saying, this iscompletely disgusting, you'retaking advantage of a child,and then the father gets on andthis shrinkette says, do youwant to talk about it? And hesays no as a matter of fact Idon't, and I am saying, bravo!Right on! Don't talk to her,it's none of her business --  -- and then suddenly, for noreason at all, he's talkingabout how much he loved hiswife, and how he just --  fell in love with her and I amcrying.  Me.  A tear isactually rolling down my face. It was like what happens when Iwatch those phone company ads. I don't have to see the wholead, I just have to see the partwhere the daughter gives hermother a refrigerator with abig red bow on it, have youseen that one?
 BECKY	 You should write somethingabout this.
 ANNIE	 About what?
 BECKY	 Whatever it is.
 KEITH	 What it is is, there are a lotof desperate women out therelooking for love.
 WYATT	 Especially over a certain age.
 KEITH	 It is easier to be killed by aterrorist after the age of 40than it is to get married --
 ANNIE	 That is not true.  Thatstatistic is not true.
 BECKY	 It's not true, but it feelstrue.
 ANNIE	 There's practically a wholebook about how that statisticis not true --
 WYATT	 Calm down.  You brought it up --
 ANNIE	 I did not, Wyatt.
 BECKY	 So where were we?
 WYATT	 New Year's Eve.  I'll do it,okay?
 BECKY	 Okay.
 ANNIE	 If someone is a widower, why dothey say he was widowed? Whydon't they say he was widowered?
 ANNIE	 I was jus wondering.
 BECKY	 What was that about up there?
 ANNIE	 What was what?
 BECKY	 What's with you?
 ANNIE	 Nothing's with me.
 BECKY	 "Sleepless in Seattle"?
 ANNIE	 That's what she called him onthe show.  Because he can'tsleep.
 BECKY	 And now 2,000 women want hisnumber.  The guy could be acrackhead, a psychopath, aflasher, a junkie, atransvestite, a chain-sawmurderer, or someone reallysick, like Rick.
 ANNIE	 Actually, he sounded nice.
 BECKY	 Oh? Oh, really? Now we'regetting down to it.
 ANNIE	 Not.
 BOB LANGMAN	 Now she wants a circularstairwell off the den.
 JAY	 Punch me, punch in right here.  And she wants the Sub-Zero withthe side-by-side doors --
 BOB	 Which means --
 SAM	 The cabinets have to be redone
 BOB	 So we thought --
 JAY	 Since you're on the make again
 SAM	 Great.  This is great.  Thewhole town knows.  Just out ofcuriosity, how do you two know?
 BOB	 Grace heard it.
 SAM	 Grace the dispatcher.  Great.
 BOB	 The point is, take the clientout to dinner and ask her tomarry you and then maybe wewon't have to redo the kitchencabinets.
 SAM	 Why me? What about Jay?
 JAY	 Hey, my plate is full.
 SAM	 Well, okay.  What's the bigdeal?  If she'll forget thenew fireplace, I'll marry her. Just point me in the rightdirection.
 JONAH	 Dad, I don't know about thisone --
 SAM	 Oh, you're changing your mind
 JONAH	 No, I'm not, but --
 SAM	 What's the matter with thisone? Wouldn't you like to haveImelda Marcos as your mother?
 JONAH	 Dad --
 SAM	 We better take the measurementsfor the new cabinets.
 BOB	 Sam, if you're not doinganything New Year's --obviously you're not doinganything New Year's -- we'rehaving some people over, all ofthem married, not one evenremotely interested in playingaround.  Does that sound greator what?  I can't think of the last timeI was at a party when anythingactually happened.
 SAM	 Thanks, but I'll pass.  It'skind of a big night.  I don'tlike to leave Jonah alone.
 SAM	 Does red pepper go under R or
 JONAH
 SAM	 What?
 JONAH	 I forgot to mention.  Jedcalled --
 SAM	 Just out of curiosity, do youhave any friends whose namesdon't begin with a J?  I feellike it was a failure of theimagination on our part namingyou Jonah.(looking at the spices)  What is marjoram? Does anyoneknow? 
 JONAH	 Jed is having a slumber partyNew Year's Eve and he invitedme.
 SAM	 Fine.  Fine.
 JONAH	 So I can go.
 SAM	 Sure.  Looking good.
 JONAH	 Shouldn't you have used atoggle bolt?
 SAM	 I think I know how to have aspice rack.
 SAM
 SAM	 I'm sorry.  I'm sorry.
 SAM	 I'm sorry.  I'm just --
 JONAH	 Stressed.
 SAM	 Right.  I'm sorry, Jonah, I'msorry.
 A VOICE	 Can I have half your beer?
 SAM	 Sure.
 MAGGIE	 What did I used to say? Here'slooking at you? Here's mud inyour eye?
 SAM	 Here's to us.  You used to sayhere's to us.  Oh babe.  I miss you so much ithurts.
 WALTER	 Happy New Year, darling.
 ANNIE	 Happy New Year.
 WALTER	 I was thinking, I have to go upto Boston for the AAPconvention and then visitWinston-Hughes about switchingover our computers.  Why don'twe meet in New York forValentine's Day weekend?
 ANNIE	 Walter, I'd love to --
 WALTER	 We'll stay at the Plaza --
 ANNIE	 Go for a walk in Central Park --
 WALTER	 Go to the Symphony --
 ANNIE	 We will?  The Symphony?  Okay.  I'll take you to the RussianTea Room for pelmeni.
 WALTER	 What is it?
 ANNIE	 It's delicious, trust me.
 WALTER	 Does it have wheat in it?
 ANNIE	 I don't think so.
 JONAH	 Look at this, Dad.  They'reall for you --
 MAILMAN	 If you're having troublesleeping, you might want to trydrinking a glass of water fromthe other side.
 JONAH	 I thought that was for hiccups.
 MAILMAN	 Does it work for hiccups?
 JONAH	 For hiccups, a spoonful ofsugar, you hold it in yourmouth for a minute.
 MAILMAN	 Really?
 SAM	 Just out of curiosity, how didthey get our address?
 JONAH	 They called and asked for it.  "Dear Sleepless in Seattle. You are the most attractive manI've ever laid ears on."
 SAM	 How did they get our phonenumber?
 JONAH	 You have to give them yourphone number or they won't letyou go on the air.
 JONAH	 "Dear Sleepless in Seattle: Iam an SWF"--  What is that?
 SAM	 Thank God.  Something you don'tknow.  It's a single whitefemale.
 JONAH	 This is no good.  She's lookingfor someone French.  Or Greek.  "Dear Sleepless in Seattle: Ilive in Tulsa." Where is that?
 SAM	 Oklahoma.  Do you know wherethat is?
 JONAH	 Somewhere in the middle.
 SAM	 I'm not going to think aboutwhat they're not teaching youin school.  I am not going tothink about it.  Generally speaking I think weshould rule out people whodon't live somewhere near here
 JONAH	 She's willing to fly anywhere.
 SAM	 She looks like my third gradeteacher.  I hated my thirdgrade teacher.  Hold it! Waita minute! She is my thirdgrade teacher!
 JONAH	 Dad, you're not taking thisseriously.
 SAM	 This is not how you do it.  You want this on an Englishmuffin or a bun?
 JONAH	 English muffin.  How do you doit?
 SAM	 You see someone you like, youget a feeling about them, youask them if they want to have adrink or --
 JONAH	 -- a slice of pizza --
 SAM	 But not dinner necessarily onthe first date because by thetime you're halfway throughdinner you might be sorry youasked them to dinner whereas ifit's just a drink, if you likethem you can always ask themfor dinner but if you don't youcan go home if you see what Imean.  I wonder if it still works thisway.
 JONAH	 It doesn't.  They ask you.
 SAM	 I'm starting to notice that.
 JONAH	 If you get a new wife, I guessyou'll have sex with her, huh?
 SAM	 What do you think?
 JONAH	 Will she scratch up your back?
 SAM	 What?
 JONAH	 In the movies women are alwaysscratching up guy's back andscreaming and stuff.  Whenthey're having sex.
 SAM	 Whose show was this on?
 JONAH	 Jed's got cables.
 SAM	 Go to sleep.
 JONAH	 Kiss Howard.  G'night, Howard.
 ANNOUNCER	 Up next, "You and YourEmotions" with Dr.  MarciaFieldstone, clinicalpsychologist and the bestfriend you never had.
 WOMAN'S VOICE	He says he doesn't love me any  more.
 DR. MARCIA FIELDSTONE	 Why do you want to be withsomeone who doesn't love you?
 ANOTHER WOMAN	 Every time I come close toorgasm he stops and goes tomake himself a sandwich --
 DR. MARCIA FIELDSTONE	 Why don't you make him asandwich beforehand?
 SAM'S VOICE	 When I met my wife, it was soclear.  I jus knew.
 DR. MARCIA FIELDSTONE	 What was it that made you know?
 SAM'S VOICE	 I don't think I could reallydescribe it.
 DR. MARCIA FIELDSTONE	 Why not?
 SAM'S VOICE	 And if I could describe it, itprobably wouldn't be on a radioshow.  But what the hell.  It's notone specific thing.  It's moreof a feeling. You touch her for the firsttime, and suddenly... you'rehome.  It's almost like...magic.
 ANNOUNCER	 We'll be back after thiscommercial with Dr. MarciaFieldstone.
 ANNIE	 I think I'm going crazy, Tom. I really do.  Are you happilymarried?
 TOM	 What?
 ANNIE	 I mean, why did you getmarried? Was it all fireworksand trumpets and --
 TOM	 I got married because Betsysaid we had to break up or getmarried.  So we get married.
 ANNIE	 But when you met her, did youbelieve she was the only personfor you? That in some mystical,cosmic way, it was fated?
 TOM	 Annie, when you meet someoneand you're attracted to them,it just means that yoursubconscious is attracted totheir subconscious,subconsciously.  So what wethink of as chemistry is justtwo neuroses knowing that theyare a perfect match.
 ANNIE	 I don't even know him.  ButI'm having all these fantasiesabout a man I've never met,who lives in Seattle.
 TOM	 It rains nine months of theyear in Seattle.
 ANNIE	 I know, I know.  I do not wantto move to Seattle.  But what Ireally don't want to do is endup always wondering what mighthave happened and knowing Icould have done something. What do you think?  It's just cold feet, isn't it?Everyone panics before they getmarried, didn't you?
 TOM	 Yes, I did.
 ANNIE	 Thank you, Tom.  I feel so muchbetter just having blown thisoff.
 TOM	 Any time.
 JAY	 Sandy has a girlfriend, Clenda  ... She's a weightlifter, butit's not like her neck isbigger than her head oranything --
 SAM	 I'm not asking you to set meup, Jay.  That's not what Ineed your help for.  I want toknow what it's like over there.
 JAY	 And that's what I'm trying totell you.  What women arelooking over, okay? Pecs and acute butt.
 SAM	 You mean, like, "He has thecutest butt"? Where did I hearthat recently?
 JAY	 Everywhere.  You can't eventurn on the news withouthearing about how some babethought some guy's butt wascute.  Who the first babe tosay this was I don't know,but it caught on.
 JAY	 When's the latest time you wereout there?
 SAM	 Seventy... eight.
 JAY	 Well.  Things are different. First, you have to be friends. You have to like each other. Then you neck.  This can go onfor years.  Then you havetests.  Then you get to do itwith a condom.  The good news is, split thecheck.
 SAM	 I don't think it could let awoman pay for dinner.
 JAY	 Great.  They'll have a paradein your honor.  You'll be Manof the Year in SeattleMagazine.  Tira misu.
 SAM	 What's tira misu?
 JAY	 You'll find out.
 SAM	 What is it?
 JAY	 You'll see.
 SAM	 Some woman is going to want meto do it to her and I'm notgoing to know what it is.
 JAY	 You'll like it.
 SAM	 This is going to be tougherthan I thought.
 SAM	 Jonah?
 SAM	 Jonah?
 SAM	 Jonah?
 SAM	 Jonah?
 JONAH	 Hi, Dad.  Dad, this is Jessica.
 SAM	 It's nice to meet you, Jessica.
 JONAH	 Dad, this is amazing.  If youplay this backwards, it says"Paul is dead."
 SAM	 I know.
 JONAH	 How do you know?
 JONAH	 Dad, could you close the door?
 JESSICA	 H and G.  Hi and goodbye.
 SAM	 Get a life.
 SAM	 Hi, Victoria?... It's SamBaldwin, I don't know if youremember me.  Oh?  Well, great. I was wondering if you wantedto have a drink... Friday,say... Dinner?... Sure, dinnerwould be fine.  Sure.  Dinner.
 ANNIE	 Now those were the days whenpeople knew how to be in love.
 BECKY	 You're a basket case.
 ANNIE	 They knew it.  Time, distance,nothing could separate them. Because they knew.  It wasright.  It was real.  It was...
 BECKY	 ... movie.  That's your problem.  You don'twant to be in love.  You wantto be in love in a movie.  Read it to me.
 ANNIE	 "Dear Sleepless and Son..."
 BECKY	 It sounds like the name of amattress store --
 ANNIE	 "I am not the sort of personwho listens to call-in radioshows" --
 BECKY	 And this woman is a writer!That's what everyone writes atthe beginning of letters tostrangers.
 ANNIE	 I know that.  You think I don'tknow that? "I know that's adumb way to begin, but it's theonly way I can think of toconvey what happened to me theother night when I heard thetwo of you on the radio.  Onthe other hand, maybe I'm justlosing my mind."
 BECKY	 You are.  You're losing yourmind.  What about Walter?
