Larry Crowne

AVERY	Sweatpants! Two pair! $6.69!
DEAN TAINOT	Been thinking. If you ever want to take a whack at writing something -- say a blog a couple of times a week -- I could help you out.
MERCEDES TAINOT	How?
DEAN TAINOT	I'd read your stuff. Make comments to make it web-savvy. Pieces need to pop, you know. Takes a little
PRACTICE
MERCEDES TAINOT	Okay.
DEAN TAINOT	See? You can't stay mad at me. No reason to be mad at me...
DENISE	This is Denise. How can I help you.
LARRY CROWNE	Denise. Larry.
DENISE	My god. Larry Crowne. I remember you.
LARRY CROWNE	This a good time?
DENISE	Other than me being at work?
LARRY CROWNE	I'll call you later.
DENISE	I'm surprised is all. What do you want?
LARRY CROWNE	Well. Okay. Uh. Here's the deal.
DENISE	Spit it, Lar.
LARRY CROWNE	I'm going to miss a few months on the checks for the house.
DENISE	Okay.
LARRY CROWNE	I hoped not to, but I there it is.
DENISE	Okay. Yeah.
LARRY CROWNE	I'm sorry.
DENISE	How many months?
LARRY CROWNE	Let's start with six.
DENISE	That can't happen, Larry. I'm extended. I've put a deposit down on the first vacation I've had in 5 1/2 years. My expenses are as valid as yours, so I need the checks like always. A deal's a deal.
LARRY CROWNE	I don't have it.
DENISE	That's not my problem. Take out a loan on the house or something.
LARRY CROWNE	I tried. I'm too much of a risk.
DENISE	Oh, I'm not touching that. I don't want to open up the whole lawyer thing, but I will if pushed. Sucks, doesn't it? I appreciate the rigorous Crowne honesty, but this can't happen. These calls are monitored to guarantee customer satisfaction, so I'm hanging up before my supervisor comes on...
PERRY	Can I smell trouble or what?
RAUL	Can you speak English?
PERRY	Those two over in booth 6...
PERRY	Homeland Security. I piped thei badges and everything.
RAUL	What is Homeland Security doing here...
R
LARRY CROWNE
HEY
RAUL	This is Larry Crowne?
LARRY CROWNE	Raul? Yes.
RAUL	Get your ass down here. You got a job.
LARRY CROWNE	I do?
PERRY	We're swamped, Kimosabe. Get back there!
RAUL	You're late on your first day!
RAUL	Where you learn to turn eggs like
LARRY CROWNE	The USS Coral Sea. Boss, I don't want to quit school.
RAUL	So don't.
LARRY CROWNE	I gotta get to class before I miss the whole day. And I can't work mornings Mondays, Wednesdays, Fridays.
RAUL	Soon as the rush is finished, go. I'll get my idiot brother-in-law three days a week. You take evenings. Deal?
LARRY CROWNE	Deal. When will we talk salary?
RAUL	Never. This is take it or leave it. Don t worry. I may be tough but I'll be fair.
MACK	These are not toys. Nobody 'plays' with these. These are kept behind glass, so no way am I passing them around today.
MERCEDES TAINOT	Wait a ding dong minute. (counts the heads) 1.2.3.4.5.6.7.8.9. Someone is missing! Who cut my class?
MACK	Guess Larry's out today.
MERCEDES TAINOT	Anyone know why?
MACK	He didn't call me.
MERCEDES TAINOT	I don't believe this! Ditching me? He ditched me? Not okay. Larry Crowne, you are on my Shit List.
DIBIASI	Sounds like Teacher has a thing for a Teach-ee.
CALIMERIS	When you were out last week, she said nothing. I think she has a crush on Larry Crowne.
PINEDO	I do too. (off their looks) He's a nice man.
MACK	Should I continue?
MERCEDES TAINOT	Yes. Tell us more about your man dolls.
MACK	I'm sure everyone recognizes Boba Fett...
LARRY CROWNE	I'm sorry I'm late, Dr. Matsutani. May I still sit in the class? I'm going to ask a question in a moment. I want someone other than you to answer it - I don't care if the silence is positively Arctic. Anyone?
LARRY CROWNE	Lala... To upload market differences without...
PINEDO	Without mooting the quarterlies. I know.
LARRY CROWNE	Then say it. Just give the answer. You know it. Say it.
PINEDO	Can I?
PINEDO	To up... met... es without ...ing ...terly predicts....?
PINEDO	To upload market differences without mooting quarterly predictions.
PINEDO	No. Only the profit markdown.
MERCEDES TAINOT	Is that Larry Crowne!? You have a lot of nerve showing your face on campus after ditching my class!
LARRY CROWNE	I'm sorry, Ms. Tainot. I will not miss another class, this I vow.
MERCEDES TAINOT	Vows come cheap, Larry Crowne. You'll lead off next assignment with three minutes on a personal first. A story, with details, not a laundry list or slide show. And, as I told Dibiasi, no one wants to hear about the first time you got laid.
TALIA	That woman is one clenched fist of fury.
TALIA	She must not be having any amok lovin'.
TALIA	Without a workout in the Inner Sanctum a few times a week I can't concentrate.
LARRY CROWNE	Inappropriate subject in mixed company.
LARRY CROWNE
TALIA	You you want to fix it with your teacher? Bang her.
LARRY CROWNE	She's marred.
TALIA	You'd kill two birds in one bush. Nothing wrong with a campus romance. Otherwise life is what? Breakfast work, coffee, school, lunch, scoot, class, shop, talk, Mexican food, a movie, glass of wine or two then bed? That's not living.
TALIA	Bet she'd give you an A plus. If you're any good...
LAURIE GAMMELGAARD	More complimentary coffee?
LARRY CROWNE	Complimentary coffee is usually lousy.
LAURIE GAMMELGAARD	I drink it all day. So? You're back!
LARRY CROWNE	I got a job.
LAURIE GAMMELGAARD	Atta Baby!
LARRY CROWNE	Perry's Coffee shop. Breakfast all day. And I'm going to school.
LAURIE GAMMELGAARD	At East City. I see. (from the papers) Larry, this doesn't change anything.
LARRY CROWNE	I was afraid of that.
LAURIE GAMMELGAARD	The interest alone will eat up your service industry salary.
LARRY CROWNE	It's been a few weeks.
LAURIE GAMMELGAARD	Okay. I will personally take this to my supervisor and fight to get you the loan you need. But you know how complimentary coffee is always lousy? Your chances are, too.
LARRY CROWNE	I can't make the payments on the house. I'm going to lose it, aren't I?
LAURIE GAMMELGAARD	Stop with the gloomy puss. You're doing everything right. Hang in there. You still have a friend at RiverBank.
LARRY CROWNE	You guys are forced to say that, aren't you?
LAURIE GAMMELGAARD
DELL GORDO	I think it's letting up.
TALIA	It's going to storm till next year.
DELL GORDO	We can't stay here all day. Find a raincoat and let's get a little wet.
TALIA	I do not scoot in the rain.
DELL GORDO	How you going to get to school then, College Co-Ed Belle?
TALIA	My savior! Look at your new schmatas. And footwear! (hopping in, to Dell) Stay dry, sweetie!
FRANCES TAYLOR-BRIEGH	I never read them.
MERCEDES TAINOT	Who did? I'm married to an ex- teacher turned blogger with two books in print. And oh, yes, he has the libido and internet access of a 13-year-old.
FRANCES TAYLOR-BRIEGH	I had a boyfriend who owned every movie Sophia Loren ever made. I d hear a DVD go into the playe an knew what I was going to be doing in a half-hour.
MERCEDES TAINOT	Once more to Divorce Court to cashier a spouse, line my cloak with alimony and do myself homage.
