Prestige, The

STAGEHAND	Where'd you think you're going?!
SHOTGUN	I know you. You're that magician-the Great Danton. (helps Angier up) I'm Alley. I saw your show. IN London. Seven times- you guessed every object the audience had in their pockets.
ALLEY	I'm sorry about the fence. People keep interfering with our work.
ANGIER	I've come to see Tesla.
ALLEY	Why?
ANGIER	He built a machine for a- for a colleague of mine. A long time ago. Can you get me a meeting with him? (off his look) I've come a very long way.
ALLEY	Impossible, I'm afraid.
ANGIER	I've brought a lot of money.
ALLEY	I'm sorry, Mr.Angier. I simply can't help you.
ANGIER	I'll be staying at the hotel. Indefinitely.
ALLEY	What am I holding?
ANGIER	Your watch.
MILTON	Which of you brave souls is willing to bind this lovely young woman...
MILTON	Are either of you two gentlemen gailors?
MILTON	Well, I'm sure you can both tie a strong knot...
BORDEN	Milton's squadering their goodwill or a bunch of tired second-hand tricks-
ANGIER	Old favourites, please.
BORDEN	What about something fresh? He won't even try a bullet catch-
BORDEN
(INDICATES HIMSELF
AND ANGIER)
USE PLANTS-
ANGIER	He can't use plants for every trick.
JULIA	There'd be no seats left for the punters.
BORDEN	Fine- no bullet catch. But a real magician tries to invent something new, something other magicians scratch their heads over-
CUTTER	They sells it to them for a small fortune.
CUTTER	I suposse you have such a trick, Mr.Borden?
ANGIER	Actually, I do.
CUTTER	Care to sell it?
BORDEN	No one else could do my trick.
ANGIER	I could.
BORDEN	You don't even know what it is.
ANGIER	Show it to me twice, I'll do it.
CUTTER	I admire your spirit, Mr.Angier. But if Borden here really has invented his masterpiece it might well be something only he can do.
ANGIER	Why?
CUTTER	It might be something only he is prepared to do. (gestures to the props) my illusions employer, Mr.Milton, is a skilled showman. But Borden's right- he won't get his hands dirty. You want to see what it takes to make real magic- go to the Tenley. There's a Chinaman there who's got what it takes.
ANGIER	Chung Ling Soo.
BORDEN	Tickets are pricey.
CUTTER	I know a lad on the door. You two watch his show- whoever tells me how he does his goldfish bowl trick gets the prize.
ANGIER	Which is?
CUTTER	Ten minutes onstage in front of my old friend, Mr.Ackerman.
JULIA	Who's Ackerman?
BORDEN	The most powerful theatrical agent in London.
CUTTER	I saw you drop the knot again, Borden.
JULIA	I think I had my wrist turned-
CUTTER	Some nights you just can't get it, can you? If that knot slips when Julia's on the hoist she'll break a leg.
BORDEN	It's the wrong knot. A Langford double would hold tighter.
CUTTER	The Langford double's not a wet knot it's too dangerous. The ropes could swell and she'd never slip it-
JULIA	I can slip a Lanford underwater.
BORDEN	We've been practiced it-
ANGIER	He said no.
CUTTER	No more mistakes.
ANGIER	Where's he from?
CUTTER	Where are you from?
CUTTER	He shuffles props for Virgil at the Hall.
ANGIER	He works for another magician? Aren't you worried he'll steal your tricks?
CUTTER	He doesn't deal in methods.
ANGIER	How do you know?
CUTTER	Because I hired him to try and find out Virgil's orange trick.
ANGIER	I don't know if I trust him.
CUTTER	He's a natural magician. Of course you can't trust him.
JULIA	I think he's alright.
ANGIER	You think everyone's alright.
JULIA	Even you.
CUTTER	And Mr.Angier...? (Angier looks up) Learn your aight lines- if I can see you sneaking a peck on your wife's ankle from the wings, the blokes on each end of rows 3 and 4 can, too.
BORDEN	Look- he's all right. He's fine.
BOY	But where's his brother?
BORDEN	Sharp lad, your son.
YOUNG WOMAN	My brother.
BORDEN	You're the lucky one tonight.
BORDEN	(to the brother) Are you watching closely?
BORDEN	Look closer.
BOY	It's got two heads.
BORDEN	Never. Show. Anyone.
BORDEN	They'll beg you and flatter you for the secret- but as soon as you give it up you'll be nothing to them. Understand? Nothing. The secret impresses no one- the trick you use it for is everything.
BORDEN	Where do you two live?
SARAH	He lives with Mum.
BORDEN	And you?
BORDEN	Enough to keep me out?
SARAH	I think so. Wil I see you again?
ANGIER	You're wrong. It can't be.
BORDEN	It is. He carries the bowl between his knees for the entire performance.
ANGIER	but look at the man!
BORDEN	This is the trick. This is why no one detectes his method.
BORDEN	Total devotion to his art... (looks at Angier) Utter self-sacrifice. It's the only way to escape this.
ANGIER	I can barely lift this thing and it's not even filled with water. Or fish. He must be strong as an ox.
JULIA	He's been preteding to be an cripple for years?
ANGIER	Any time he's in public. Any time he goes out. It's unthinkable.
ANGIER	Borden saw it at once. I couldn't fathom it- living your whole life pretending to be someone else.
JULIA	You're pretending to be someone else.
ANGIER	I don't think changing your name compares.
JULIA	Not just your name- who you are, where you're from...
ANGIER	I promised my family I wouldn't embarrass them with my theatrical endeavors.
JULIA	I came up with a name for you... "The Great Danton" You don't like it? It's sophisticated.
ANGIER	It's French.
SARAH	Alfred?!
BORDEN	We have our routine for Ackerman!
SARAH	We haven't had the pleasure.
BORDEN	Mr.Fallon is my ingeneur-
SARAH	Where did yo get all of-
BORDEN	Begged, borrowed and don't ask. Mr.Fallon's an enterprising soul.
SARAH	I need talk to you.
SARAH	We can't afford to pay him-
BORDEN	We'll start making money once we have our audience-
SARAH	And until then? What I earn is barely enough for us.
BORDEN	I'll give him half of my food.
SARAH	You're already going to be sharing it with someone else.
BORDEN	You're...?
SARAH	Having a baby.
SARAH	What's this?
BORDEN	The trick to wake up Ackerman at the end of my audition.
SARAH	Your great trick? The "masterpiece that will make our fortunes"?
BORDEN	No. The world isn't ready for that one, yet.
BORDEN	This is merely a run-of-the-mill daring and spectacular bullet catch-
SARAH	I'm not letting you get shot.
BORDEN	It's perfectly safe. Shoot me.
SARAH	Show me. (Borden shakes head) Then you're not doing it. I can't raise a child on my own, Alfred.
BORDEN	The bullet goes in the gun. Then comes the ramrod.
BORDEN
AND VOILS-
BORDEN	The buller's not even in the gun when the charge is fired.
SARAH	Once you know it's so obvious.
BORDEN	Yes, well, people still get killed perfoming it.
SARAH	How?
BORDEN	Sme smart-arse drops something down the barrel.
SARAH	Such as?
BORDEN	A penny, or a button. Or, of course, a bullet. (off worried look) But don't fret-
BORDEN	I'm not letting anything happen- I love you too much.
SARAH	Say it again.
BORDEN	I love you.
SARAH	Nope. Not today.
BORDEN	What?
SARAH	Some days, it's not true. Todayt you don't mean it. Maybe today you're more in love with magic than me. It's alright. I like being able to tell the difference- it makes the days it is true mean something.
BORDEN	Bloody fool.
POLICEMAN	It's all laid out down the end, you honour.
JUDGE	What's in there?
CUTTER	Angier's machine.
JUDGE	You built this, Mr.Cutter?
CUTTER	Oh no. This wasn't built by a magician... it was built by a wizard. A man who can actually do the things a magician pretends to...
CUTTER	your honour, what will happen to these things when the trial is over?
JUDGE	They've benn sold to a Lord Caldlo. An avid collector, apparently very interested in the case.
CUTTER	Don't let him take this.
JUDGE	Why ever not?
CUTTER	It's dangerous.
JUDGE	I'm sure beneath its bells and whistles it's get some simple and disappointing trick.
CUTTER	The most disappointing of all- it has no trick. It's real.
JUDGE	This is the tank Angier drowned in?
CUTTER	This lets the performer's hands reach the trick padlock... -a small section POPS open.
JUDGE	A standard magical apparatus for escapes?
CUTTER	With one important difference...
CUTTER	This isn't a trick lock... it's been switched out for a real one.
JUDGE	What a way to kill someone. Why in God's name go to such lengths?
CUTTER	These are magicians, you honour. Showmen. Men who live by dressing up plain and sometimes brutal truths to amaze. To shock.
JUDGE	Even without and audience?
CUTTER	There was and audience. (looks at Judge) See, the water tank had a particular signinficance for the two men...
MILTON	Which of you brave souls is willing bind this lovely young woman?
ANGIER	How can be not know?!
BORDEN	"How can be not know?!" Because, Angier, life is complicated, people are complicated, knots are
COMPLICATED-
JUDGE	Alfred Borden, you have been found guilty of the murder of Robert Angier. You will, in one month's time, be hanged by the neck until dead. May the Lord have mercy on your soul.
BORDEN	They took her away? To the workhouse?
BORDEN	Tell him I've reconsidered. It's for the best.
ALLEY	Tesla sends me down here during the storms. Perfect excuse to come shere a drink with the Great Danton.
ALLEY	Have you tried our Bourbon yet, Mr. Angier? It matches the scenery nicely. Two of 'em. Beautiful, isn't it? I do miss New York, though.
ANGIER	Why are you here?
ALLEY	The lightning lives here. And noit much else- our work is secret.
ALLEY	A cypher?
ANGIER	My profession also deals in secrets.
ANGIER	It's a rotating transposition that shifts every day of the dairy. Simple but time-consuming to translate once you have the five-letter keyword.
ALLEY	Which is?
ANGIER	We magicians have a circle of trust.
ALLEY	You have a circle of trust with someone whose dairy you stole?
ANGIER	Maybe I bought it.
ALLEY	Magicians sell their secrets?
ANGIER	It's how we pay for our retirements and how greats tricks outlive us.
ALLEY	You're hoping to find a great secretin there?
ANGIER	I've already found it. That's why I'm here.
ANGIER	Tesla built one for another magician.
ALLEY	Why would you want the same thing?
ANGIER	Call it a professional rivalry.
ALLEY	Tesla has built unusual machines for unusual people, but he would never talk about it.
ANGIER	I understand discretion. I just want the machine.
ALLEY	Finish your drink. You'll have a special appreciation for our work.
ANGIER	I thought it was a secret.
ALLEY	You're a magician. Who's going to believe you?
ALLEY	We do our tests when the townspeople are asleep- Mr.Tesla doesn't want to scare anyone.
ALLEY	Not long now.
ALLEY	Our equipment requires a great deal of current. Tesla eletrified the whole town in exchange for using the generators when we need to.
ANGIER	Where are the wires?
ALLEY	Exactly.
ANGIER	Where's the generator?
ALLEY	You saw it last week.
ANGIER	But that must be ten miles from here.
ALLEY	Fifteen. And I have to ride all of them before I get to bed. (turns to leave) I'll send word for you in a few days, Mr.Angier.
VOICE	Get out your gun, Professor!
BORDEN	A volunteer.
BORDEN	Are you man enought, sir?
MOUSTACHE	Yes.
BORDEN	I think not.
ANGIER	Never thought I'd find an answer at the bottom of a pint glass.
CUTTER	Hasn't stopped you looking. I heard about a booking. Nice little theatre. Good up-and-coming magician.
ANGIER	Who?
CUTTER	You.
ANGIER	You got me a booking? Why?
CUTTER	Because I want to keep working... (looks up at Angier) And who's going to hire the ingeneur who killed Julia McCullough in front of a sellout crowd at the Orpheum?
ANGIER	Someone who know that it wasn't your fault. Someone who knows Alfred Borden and his repertoire of exotic knots.
CUTTER	Heard he had a spot of bad luck doing a bullet catch South of the river.
ANGIER	To die like that. Locked in water... lungs screaming... What did she go through, Cutter?
CUTTER	I knew an old sailor. Told me about a time he got pulled over the side tangled in the sheets... they dragged him out, but it was five minutes before he coughed...
CUTTER	He said it was like... going home.
ANGIER	Which knot did Borden tie that night?
CUTTER	He wouldn't say.
ANGIER	Wouldn't say?!
CUTTER	It was as if... as if he didn't know.
CUTTER	We'll have to whitewash the windows to cofound the more curious members of your audience... But this should do.
ANGIER	We should see about an assistant.
CUTTER	I've made arrangements. Have you settled on a name?
ANGIER	Yes, I have. The Great Danton.
CUTTER	Hmm. Bit old-fashioned?
ANGIER	No. It's sophisticated.
OLIVIA	What's so hard about this?
CUTTER	In here, Miss Wenscombe. No point meeting Mr.Angier unless you fit.
CUTTER	Breathe as little as possible.
CUTTER	Not much experience , but she knows the basics. She knows how to present herself and a pretty assistant's the most effective from of misdirection.
CUTTER	I suppose I should let her out.
SARAH	I don't understand, Alfred. How can it be bleeding again?
SARAH	What have you been doing to it? It looks as had as the day it happened. We need to get the doctot back-
BORDEN	We can' afford the doctor back!
SARAH	You've woken her.
BORDEN	I'm sorry. I just need this to heal so I can het back to work.
SARAH	Alfred, you have to face things. What tricks could you peform with this kind of injury?
BORDEN	Some of the card pulls, prop tricks... (leans forward, excited) And the trick I've been telling you about. The trick they'll remember me for.
ANGIER	The bird cage can't be our climax- everybody knows it.
CUTTER	Not like this, they don't.
ANGIER	And I don't want to kill doves.
CUTTER	Then stay off the stage. (glares at Angier) You're a magician, not a wizard- you have to get your hands dirty to achieve the impossible.
ANGIER	You sound like him.
CUTTER	(holds up cage) Put your hands on the sides...
ANGIER	I need a volunteer.
CUTTER	Hang on, hang on...
CUTTER	There we go. Now you tell the volunteer to put his hands here...
MERRIT	You'd beat not be intending to hut this animal, Mr.Angier.
ANGIER	Of course not.
ANGIER	And one, two... THREE!
ANGIER
ANGIER	Bloody marvelous, Cutter.
CUTTER	And the best part...
ANGIER	Thought you said I had to get my hands dirty.
CUTTER	Someday, perhaps you will. I needed to know that you can.
MERRIT	Very nice. Very nice indeed.
ANGIER	I haven't had a chance to compliment you on your beautiful theatre yet, Mr.Merrit.
MERRIT	A lot more beautiful when it's full, Mr.Angier.
ANGIER	Don't worry.
MERRIT	You all say that. Why sould I worry? If your tricks don't get 'em in, someone else's will. Maybe someone willing to do a bullet catch or a water scape.
CUTTER	cheap thrills, Mr.Merrit. People hoping for an accident- and quite likely to see one, too. What would that do for your business?
MERRIT	You've got a week.
ANGIER	You sir, in the hat. Could you show us your handkerchief?
MAN	This isn't mine.
ANGIER	Perhaps you'd be so good as to return it to the other man. He has yours.
OLIVIA	I'm so nervous- I'm sorry, I'm making mistakes.
ANGIER	The audience doesn't seem to be responding much, Cutter.
CUTTER	This is a grand theatre with a sophisticated audience- They've seen most of these tricks before. But not this next one. You'll see.
CUTTER	You! Piss off out it!
ANGIER	Wish us luc, Cutter.
CUTTER	I'll have the champagne ready.
ANGIER	You've seen this one before?
ANGIER	Well, I'll make it a little harder, shall I?
ANGIER	Two volunteers, please. A lady and a gentleman to hold this cage with me...
ANGIER	I'll perform this feat in a manner never before seen by yourselves or by any other audience anywhere in the worth...
ANGIER	Any magician can make this cage disappear... that's why I'll ask this good lady and fine gentleman to place their hands firmly on the cage...
ANGIER	...to ensure that no trickery whatsover is employed.
ANGIER	I should've spotted him.
CUTTER	You had a lot of plates spinning.
ANGIER	Don't suppose they'll let us do this one again.
CUTTER	No.
ANGIER	So what's the climax of our show?
ANGIER	Mr.Merrit, we have a week's engagment-
MERRIT	To perform magic- not butcher birds and break my costomer's fingers! Clear out, anything here in the morning gets burned.
CUTTER	Mr.Merrit-
MERRIT	It's done, John. I've hired a comedian. You know I hate comedians, which should indicate the may I felel about your friend's future as a stage magician.
CUTTER	There are plenty of good theatres... if we can come up with another trick and change the name of the act-
ANGIER	The name stays.
CUTTER	Right. Well, the new trick will have to be irresistible, then. I've a couple of methods to try out, but we'll need a fresh angle on the presentation.
CUTTER	If you need inspiration, there's a technical exposition at the Albert Hall this week. Scientists and engineers. That sort of thing captures the popular imagination.
TICKET HAWKER	Would you like to know the future, sir? The man who kill change the world is speaking right now. Continents divided no more. Free, clean power. The mysteries of the world solved.
TESLA	With a system like this I could have the entire city electrified whitin two years.
TESLA	Mr. Edison's direct current system is flawed and dangerous. With my alternating current devices-
AUDIENCE MEMBER	Fraud.
BORDEN	I love you.
SARAH	See? Today, it's true.
ANGIER	The family life he craves one minute he rails against the next, demanding freedom. His mind is a divided one...
BORDEN	Guard! Guard!!
GUARD	What do want, Professor?
BORDEN	Paper and pencil. Please.
SULLEN	Let me see?
SULLEN	I'm going to know all of the Professor's secrets.
BORDEN	Only if I teach you how to read.
SULLEN	Just stupid tricks, right? Haven't helped you get out of here-
)	Have they? Or can't you open real locks, Professor?
BORDEN	Perhaps I'm just biding my time. Perhaps one day I'll just hold up my
HAND-
BORDEN	-get you attention. Then quietly
SAY-	"are you wacthing closely"... perhaps say a magic word or two... then I'll be gone.
SULLEN	How'd you get so famous, then?
BORDEN	Magic.
SULLEN	Oi, Borden, get back here!
ANGIER	I thought you'd gone.
OLIVIA	I don't really.... have anywhere to go.
ANGIER	You've been sleeping here?
OLIVIA	Cutter said it would be okay till we get another booking. What are you doing?
ANGIER	Researching. Part of a magician's job is to watch his competition, to see what illusions they're-
OLIVIA	You're going to do something to that man, aren't you?
OLIVIA	Cutter's hopig you'll let things life. He says if Borden thinks things are even between you then we can-
ANGIER	Even? My wife for a couple of his fingers? He has a child now. And he's perfoming again. Borden is out there, living his life just as he always intended. As if nothing had happened. And look at me. I'm alone. And no theatre will touch me.
OLIVIA	Us.
OLIVIA	You're going to need a better disguise.
BORDEN	I need a volunteer.
BORDEN	As you can see , it's just a rubber ball. But it's not normal at all.
BORDEN	Thank you.
BORDEN	You're not impressed?
BORDEN	It's a magic ball.
OLIVIA	What happened, Robert?
ANGIER	He had a new trick.
OLIVIA	Was it good?
ANGIER	Did they applaud when you saw it?
CUTTER	Not very enthusiastically.
CUTTER	The trick is too good -- too simple- the audience harly knows what they've seen.
ANGIER	He's a dreadful magician.
CUTTER	He's a wonderfull magician- he's a dreadful showman. He doesn't know how to dress it up, how to sell the trick.
ANGIER	How does he do it?
CUTTER	He uses a double.
ANGIER	It's not that simple. This is a complex illusion.
CUTTER	You think that because you don't know the method. It's a double who comes out at the end. It's the only way.
ANGIER	I've seen his perfom ir three times now, Mr. Cutter- the Prestige is the
SAME MAN-
CUTTER
IT'S NOT-
ANGIER	The same man comes out of the second cabinet. I promise you.
OLIVIA	It is the same man.
OLIVIA	He wears padded gloves to hide his damaged fingers, but if you look closely you can tell.
ANGIER	He doesn't know how to sell his trick to an audience. But I do.
CUTTER	It would give us our climax.
ANGIER	The man stole my life. I'm going to steal his trick.
CUTTER	We'll have to find someone who can look like you on a stage.
ANGIER	He doesn't use a double-
CUTTER	I don't know how Borden does it, Robert. So either you wait for Borden to retire and buy his secret, or you can listen to how I would do this trick. Ang the only way I know is to find you a bloody good double.
ANGIER	Take a good look- let's get out there and find me.
ALLEY	It's perfectly safe.
TESLA	So this is the Great Danton.
TESLA	Mr. Alley has effused about your act to me on any number of occasions. Something you did with pockets?
ANGIER	I saw a lecture you gave in London, several years ago. I'm flattered you agreed to see me.
ANGIER	What's conducting the electricity?
TESLA	Our bodies, Mr. Angier, are quite capable of conducting, and indeed, producing energy.
TESLA	Have you eaten, Mr. Angier?
TESLA	Alley has explained that you require a very interesting device.
ANGIER	I need something impossible.
TESLA	You're familiar with a phrase 'Man's reach exceeds his grasp'?
TESLA	(off his look) It's a lie. Man's grasp exceeds his nerve. The only limits on scientific progress are these imposed by society.
TESLA	The first time I changed the world I was hailed as a visionary. The second time I was asked politely to retire. The world only tolerates one change at a time. And so here I am. (gestures at laboratory) Enjoying "retirement". (looking at Angier) Nothing is impossible, Mr. Angier. What you want is simply expensive.
TESLA	Alley says you are a stage magician. If a built you this device, you would be presenting it only as an illusion?
ANGIER	If people thought the things I did on stage were real, they wouldn't clap- they'd scream. Think of saving a woman in half.
TESLA	Mr.Angier, the cost of such a machine-
ANGIER	Price is not an object.
TESLA	Perhaps not. But have you considered the cost?
ANGIER	I'm noit sure I follow.
TESLA	I can make your machine, Mr. Angier. But I can also give you some advice... Go home. Forget this thing. I can recognize an obsession. As Mr. Alley could tell you, I myself an given to one now and then. It will not do you any good.
ANGIER	Have your obsessions done you no good?
TESLA	At first. But I've followed them too long- I am their slave. Their whipping boy. And one day they may choose to destroy me.
ANGIER	if you understand an obsession then you know you won't change my mind.
TESLA	So be it.
ANGIER	Will you build it?
TESLA	I have already begun to build it, Mr. Angier. I hope you enjoy the mountain air. This will take time.
OLIVIA	Gerry?
OLIVIA	Mr. Angier, Mr. Cutter, I would like you to meet Mr. Gerald Root.
ROOT	A pleasure to meet you fine gentlemen.
ROOT	Would you like for me to tell you a little joke?
ROOT	Are you laughing?
ANGIER	He's out of his mind.
OLIVIA	He's an out-of-work actor- of course he's out of his mind.
CUTTER	He's perfect. A little work, mind you, but when I'm done with him he could be your brother.
ANGIER	I don't need him to be my brother. I need him to be me.
BORDEN	Would you like to see a magic trick?
SARAH	What is this for?
SARAH	When I asked last week you said we couldn't afford.
BORDEN	You caught me in the wrong mood.
SARAH	But you want through all the-
BORDEN	Sarah, I'm allowed to change my mind, aren't I? The act is taking off, maybe soon I'll get us into a bigger theatre. Things will work.
OLIVIA	You walk through this one- then...?
OLIVIA	Oof. Couldn't you find a softer one?
ANGIER	It's not for sleeping on.
OLIVIA	And Root goes up through there?
OLIVIA	It's going to be amazing, Robert.
ANGIER	It has to be. Borden's trick is getting noticed. The place was packed today.
OLIVIA	You went and saw his show again?
OLIVIA	You becoming obsessed, Robert.
ANGIER	All I have to do is keep myself stinking drunk all the time and no one will be able to tell the difference.
CUTTER	A little faith, sir. Could you favor us with a perfomance. Mr. Root?
ROOT	You would drink, too, if you know the world half so well as I do.
ROOT	Did you think you were unique, Mr. Angier? I have been Cassar. I have been Faust. How difficult could it possibly be to play 'The Great Danton?'
CUTTER	You can go back to being yourself. Root. For free..
ROOT	I'd rather be him, for now. I find it amusing.
CUTTER	Root has to keep a low profile-- anyone sees him the game's up.
ANGIER	I don't know how you do these things, Cutter. I'm not sure I want to know.
CUTTER	Have you thought about what we should call the trick?
ANGIER	No point being coy. Borden calls his trick 'The Transported Man'?
ANGIER	Ladies and gentlemen, much of what you've seen tonight can be termed illusions. Entertaining trifles of the sort you may have seen other magicians perform.
ANGIER	Alas, I cannot claim this next feat as illusion. Watch carefully- you will see no trickery, for no trickery is being employed. Merely a techique familiar to certain citizens of the orient and various holy men of the Himalyas. Indeed, some of you may be familiar with this technique, but for those of you who aren't, do not be alarmed, what you are about to see is considered safe...
OLIVIA	To our achivement.
CUTTER	The manager said he's never seen a reaction like it.
ANGIER	At least he got to see it. I spent the ovation hidden under the stage. No one cares about the man who disappears, the man who goes into the box. They care about the man who comes out the other side.
OLIVIA	I care about the man in the box.
ANGIER	Thank you. Maybe we could switch before the trick. That way I could be the Prestige and Root ends up below stage.
CUTTER	The antecipation of the trick is everything- it needs your showmanship to built suspense. If Root opens his mouth, it's all over- he can't introduce the trick.
CUTTER	Root, you bloody fool, get that costume and makeup off right now, anyone could walk in here!
CUTTER	Congratulation, all.
ANGIER	I suppose I should get more rest.
OLIVIA	Life is not full of these moments, Robbie.
OLIVIA	We've worked hard for this, and we need to celebrate properly.
OLIVIA	What's wrong? It is your wife?
ANGIER	The trick isn't good enough.
OLIVIA	Didn't you see the audience?
ANGIER	No.
OLIVIA	Well, they loved it.
ANGIER	It's not as good as his trick.
OLIVIA	Borden's trick is nothing compared to ours. He doesn't have any style-
ANGIER	He doesn't have to spend the finale hiding under the stage.
ANGIER	I need to know how he does it.
OLIVIA	Why?
ANGIER	So that I can do it better.
ANGIER	I need you to go and work for him.
OLIVIA	Work for him? Are you joking
ANGIER	You'll be my spy.
OLIVIA	We just got our start and you want me to leave?
ANGIER	It's how we advance.
ANGIER	Think of it, Olivia... we've got people excited about Cutter's version of the trick- imagine what we could do with the real illusion. We'll have the greatest magic act anyone's ever seen.
OLIVIA	He knows I work for you.
ANGIER	Exactly why he'll want to hire you. He'll want my secrets.
OLIVIA	Why would he trust me?
ANGIER	Because you're going to tell him the truth.
TESLA	You must be curious to see what so much money had bought you, Mr. Angier.
TESLA	Fitting that you should be here for the maiden voyage.
TESLA	Your hat.
ALLEY	You might want to stand back.
TESLA	No, no. It will be fine. Mr. Alley, please proceed.
ANGIER	I don't understand-
ALLEY	Perhaps it would be best if you left us to it. We'll see you next week?
OLIVIA	Interesting workshop.
BORDEN	We make do.
OLIVIA	My name is Olivia Wenscombe.
BORDEN	I know who you are. Are you here to steal the rest of my show?
OLIVIA	No. I'm here to give your show what is missing.
BORDEN	And what might that be?
OLIVIA	Me.
BORDEN	Wasn't I just saying that, Bernard? A woman's touch.
OLIVIA	I've left Angier. I want a job.
OLIVIA	I know you have no reason to trust
ME-
BORDEN	Why on earth shouldn't I trust you? The mistress of my enemy.
OLIVIA	Mr.Borden-
BORDEN	Alfred.
OLIVIA	Alfred. I'm going to tell you the truth.
BORDEN	Ah. The truth. A slippery notion in our life of work, Miss Wenscombe.
OLIVIA	I'm here because he sent me here. He wants me to come and work for you and steal your secret.
BORDEN	What does he need my secret for? His trick is top notch. The Great Danton vanishes and isntantly reappears on the other side of the stage -- mute, overweight, and, unless I'm mistaken, rather drunk.
BORDEN	Tell me, Olivia. Does he like taking his bows under the stage?
OLIVIA	No. It's killing him. he's obsessed with discovering your method. He thinks of nothing else, and takes no pleasure in our sucess. I've had enough. There's no future with him. He sent me here to steal your secrets, but I've actually come to offer you his.
BORDEN	He has no secrets from me.
BORDEN	And this is the truth?
CUTTER	Best be getting changed for the martinee, sir.
CUTTER	ROOT! You're late. And even more drunk than usual. Get yourself below stairs, right away!
ROOT	No.
CUTTER	No?!
ROOT	We need to have a chat, Mr.Cutter.
ANGIER	We have a problem, Cutter.
ANGIER	He'll be perfoming right across the street.
CUTTER	We have a bigger problem. Root.
ANGIER	Don't tell me he fell over again.
CUTTER	Worse. He realized he can make demands.
ANGIER	He's blackmailing us?
CUTTER	In a word, yes. I'm surprised, to be honest- it usually takes them a lot longer to figure it out.
ANGIER	How much does he want?
CUTTER	It makes no difference- we have to stop doing the trick.
