War of the Worlds

NARRATOR	No one would have believed in the early  years of the21st century, that our world  was being watched by intelligences greater  than our own. That as men busied themselves  about their various concerns, they observed  and studied. Like the way a man with  a microscope might scrutinize the creatures  that swarm and multiply in a drop of  water. With infinite complacency men  went to and fro about the globe, confident  of our empire over this world. Yet,  across the gulf of space, intellects,  vast and cool and unsympathetic regarded  our plant with envious eyes. And slowly  and surely, drew their plans against  us.
RAY	I'm on my way to find out. Try umm...  try changing the solenoids.
MANNY	Right, (to accompanying mechanic) Right  see, I told you that, the solenoids.
COP 1	Let us through. Let us through here.
FRIEND 3	Hey, what up, Ray?
RAY	(joking) I should of known you two were  behind this.
FRIEND 3	Hey, god's pissed off at the Neibor  hood
RAY	Can you blame him?
FRIEND 4	You see it?
RAY	Yep, you got power where you are?
FRIEND 3	Nope, nothing.
RAY	It's the cars though. That's the thing.
FRIEND 4	Solar Flare, that's what this guy told  me.
RAY	A solar flare?
FRIEND 4	Yeah, the sun shoots off blobs of plasma,  they turn into solar flare flashes.  It's the only thing that can kill all  of the electronic stuff.
FRIEND 3	Can I say something?
FRIEND 4	What bro?
FRIEND 3	The sun does not cause lightning, okay?
FRIEND 4	Bro, I'm just telling you what that  guy said he heard.
FRIEND 3	I know but it just sounds dumb saying  that...
COP 1	I never seen anything like this before.  That many strikes of lighting in one  spot.
RAY	Is this the only place?
FRIEND 4	Is it hot?
RAY	No. It's freezing.
COP 2	What is that?
RAY	You feel that?
FRIEND 3	Yeah, I feel that.
FRIEND 4	What is it the subway?
COP 1	There's no subway here.
FRIEND 4	PATH Train maybe?
COP 1	That can't be the water main.
COP 2	There's nothing else down there.
COP 1	The water main doesn't run through here.
COP 2	Well, there's something down there and  it's moving.
FRIEND 4	Oh my god.
FRIEND 4	Ray, no, stay man.
ROBBIE	What happened?
RACHEL	What's going on?
RACHEL	Dad, what's the matter?
ROBBIE	What's all that stuff all over you?
RACHEL	What's all the stuff?
ROBBIE	Hello? Ray?
RAY	We're leaving this house in 60 seconds.
ROBBIE	(questioning) What? Wait. I have no  idea what's going on...
RAY	(while Robbie asks) ... all the food  from the refrigerator and the cupboard,  put it in here.
ROBBIE	I think we are having a bit of a shock  here...what's going on, just tell me...
RAY	Just do it.
RAY	Rachel, sweetheart...
RACHEL	Dad, you're really scaring me.
RAY	I need you to get your suitcase...
RACHEL	Dad. (break) Dad!
RAY	The one that you brought, bring it to  me, okay?
RAY	Can you do that for me, darling?
ROBBIE	What's happening?
RAY	Shh, Shh, I can't tell you now. We...  We've only got about another minute.
RAY	Please, Please, Please.
RAY	Just keep it down.
ROBBIE	Ray, I'm standing right beside you.  Can you please answer me?
RAY	Just get in the front seat Robbie.
RACHEL	Who's car is this?
RAY	Just get in.
RACHEL	Who's car is this?
MANNY	Hey, Hey, Ray! You were absolutely right.  I had to change the sole... Ray?
MANNY	Hey Ray? Ray? What?
MANNY	Ray. Open up.
MANNY	Open the door, come on! OPEN THE DOOR
MANNY	What are you...
RAY	(interrupts him) Get in.
MANNY	That's funny, you gotta get out of the  car. You can't take it.
MANNY	It's not my car. It's not your car.  Where you going? Daddy's acting crazy  kids. Guy's gonna come back...
RAY	(interrupts him) I don't have time to  expl....
MANNY	(interrupts him) You're busting my chops.  I got a shop to run. You know how many  people...
RAY	(interrupts him) Get in!
MANNY	No, RAY GET OUT OF THE...
RAY
RACHEL	What do you mean?
MANNY	All right, get out of the truck! I'm  not kidding now. GET OUT OF THE CAR
MANNY	I'm not fooling around, I got a busy  day ahead of me...
RAY	(to Robbie) Close the door! CLOSE IT!
MANNY
RAY
RACHEL	Is this the terrorists?!?!
RAY
RAY
ROBBIE
ROBBIE	Where are we going?!?!?!
RAY	We gotta go! We got to be the only working  car around here. I'm not stopping until  we are clear.
ROBBIE
RAY	We gotta go.
ROBBIE
RAY
ROBBIE
RAY	Rachel... Rachel you've got to keep  it down Rachel!
RAY	Rachel! SHUT UP RACHEL! I CAN'T THINK!
ROBBIE	(with a vein driven face) YOU ARE FREAKING
RAY
ROBBIE	Okay, (slapping his arms together on  top of each other, demonstrating) Put  em' up Rache.
ROBBIE	Make the arms. (he grabs her elbows  so she holds the position. He begins  to calm her down) This space right here,  this is yours.
ROBBIE	... This belongs to you, right?
RACHEL	(panting, but keeping eye contact) Yes...
ROBBIE	(reassuring her) You're safe in your  space.
RACHEL	(keeping eye contact) I'm safe in my  space.
ROBBIE	(reassuring her) You're safe in your  space. Nothing is going to happen to  you in your space.
RACHEL	I'm really scared.
ROBBIE	I'm gonna go to the front seat to talk  to dad...
RACHEL	No....
ROBBIE	(reassuring her) I will be two feet  away. Okay.
ROBBIE	Will you hold my hand?
RACHEL	Yes.
ROBBIE	Are you gonna be okay?
RACHEL	(relatively calm) Yes.
ROBBIE	(taking a breath to calm himself) I  want to know everything you know.
RAY	This thing, this machine, it crawled  out of the ground and started torching  everything, just killing everybody.
ROBBIE	What is it? (break) Is it terrorists?
RAY	No, this came from some place else.
ROBBIE	You mean like Europe?
RAY
RAY	That machine, it was already buried.
RAY	Maybe it came down in the lightning  storm.
ROBBIE	Wait a minute... you just said it was  buried.
RAY	No, the machine I'm talking about was  buried. But, what came down in the lighting  storm, what operates it. That's the...  that's the.... You know. The....
RACHEL	The what?
ROBBIE	Why aren't there any helicopters or  airplanes?
RAY	Hey Rache. How you doing there girl?  (to Robbie) How she doing?
ROBBIE	How you doing?
RACHEL	I'm fine.
ROBBIE	(to Ray) She's good.
RAY	Good.  Hey, what was that thing you  did with her?
ROBBIE	Works sometimes. She gets claustrophobic.
RAY	Hey Rachel
RACHEL	I want mom.
RAY	I know. You feel better?
RACHEL	I want mom.
RAY	Yeah, tell me about it, you know?
RACHEL	Take me to Mom's!
RAY	Listen, I just need you to hold it together  for me, okay?
RACHEL
RAY	When you start screaming like that,  you know, I can't really...
RACHEL
RAY	I know...
RACHEL
RAY	That's where we're going right now.
RACHEL
RAY
RACHEL	Come on, hurry up Dad...
RACHEL	Robbie, get the door.... (she knocks  on it)
RACHEL	(begins, and continues once in the house)
ROBBIE	(begins, and continues once in the house)
ROBBIE	They're gone.
RACHEL	Is she dead??
RAY	She's not dead. All right? She's just  no here. Okay? They're never here.
ROBBIE	How do you know?
RAY	Because they are on their way to Boston....
RAY	... and so they just kept on going,  they're probably up to your grandma's  house by now.
ROBBIE	(dialing the phone) I'm gonna call her.
RACHEL	How come the lights are on here and  not at your place?
RAY	Umm.... Because nothing bad happened  here. Okay?
RAY	So, were safe here. All Right?
RAY	Okay, Rachel? This is your area. Okay,  you are safe in your area...
RACHEL	Dad. That's not how it goes.
RAY	Okay, well, you hungry, huh? I'll get  you some food. I'm gonna feed you. Get  something to eat.  (digs into the box)  What do we have here??
ROBBIE	.. Busy signals, one of the fast ones....  You think all the circuits are down?
RAY	(continues) Ketchup, Mustard, Ahh, Tabasco,  Barbeque Sauce. This is really good  Robbie. Vinaigrette. I said pack food.  What... What the hell is this?
ROBBIE	That's all that was in your kitchen.
RAY	Okay. No, it's all right, it's all right.
RAY	Uh, food... Uh, bread... (getting the  bread) okay, we're gonna have... umm....  We'll just get some sandwiches.
RAY	You ever see me deal? Wanna see me deal?  Okay, there's two for you, two for Robbie,  two for me, (he has one extra in his  hand) ...one for the house. (laughs)
RAY	Maybe after we get done eating, I will  take you down, teach you how to play  some poker. A little five card stud...  a little blackjack...
RACHEL	I'm allergic to peanut butter.
RAY	(laughs) Since when?
RACHEL	(with a snotty look) Birth!
RAY	Okay, well, umm, here (hands her two  pieces of bread) You can eat the bread.  Okay?
RACHEL	I'm not hungry.
RAY	Okay, well. Robbie and I are going to  be eating peanut butter sandwiches.  (to Robbie) You want jelly on this sandwich?
ROBBIE	I'm not hungry either.
RAY	You're not hungry either? Well, that's  fine.
RAY	Everybody just relax, okay? Because  we are here now and we're safe, and  we're gonna stay.  And in the morning  your mom and Tim are going to be here  and everything's gonna be fine. Okay?  (no responses) Okay.
RACHEL	If everything's fine, why do we have  to sleep in the basement. We've got  perfectly good beds.
RAY	It's like a slumber party.
ROBBIE	What are you afraid is gonna happen  to us?
RAY	(walks over to the weight room corner  of the basement) Nice basement.
RACHEL	I want to sleep in my bed. I've got  back problems.
RAY	Okay. You know on the Weather Channel  when there's a tornado, and they tell  you to go to the basement for safety?  It's like that.
RACHEL	There's gonna be tornadoes?
RAY	Rachel, no more talking.
RACHEL	Could you be a little nicer to me. God!
ROBBIE	Wanna stay here?
RACHEL	Yeah. Good night, love you.
ROBBIE	Love you, Rache.
RACHEL	Is the lighting back?
RAY	No, this is something else...
ROBBIE	(screams) AHHHH... WHAT'S THAT SOUND?
RAY
RACHEL
RAY
RAY
RACHEL	Are we still alive?
RAY	Down here!
RAY	Were you on this plane? Are you a passenger?
MAX	Hey, how you doing? Wanna help me open  this?
RAY	Are you a passenger?
NEWS REPORTER	He's deaf. The shell went off right  beside him. The camera on his shoulder  saved his life. (to Max) You hear that  Max? Your stupid camera saved your stupid  life.
RAY	Where were you?
NEWS REPORTER	Out there in the pine barrens. We were  attached to a National Guard unit, the  83rd Mechanized. They moved to one of  those things around midnight. They've  got some kind of shield around them.  We can't see it, but everything we fire  at them detonates too early before we  can get close enough to cause any damage.  When they flash that thing, everything  lights up like Hiroshima.
RAY	There's more than one?
REPORTER	You gotta be kidding me right?
REPORTER	We were feeding New York but New York  went dark. So we patched over to D.C.,  they went down, L.A., Chicago, uplink  to London. Even called the affiliates  to try and get them to catch the feed,  but nobody answered.
REPORTER	It's the same everywhere. Once the tripods  start to move, no more news comes out  of that area.
RAY	Oh, my god!
REPORTER	You ain't seen nothing yet.
RAY	I saw that storm. I was right in the  middle of one of those.
REPORTER	No, you didn't see it like this. Those  machines come up from under the ground,  right? That means they must have been  buried there a long time ago. So who's  driving the god damn things? (pointing  to the monitor) Watch the lightning.  Watch it..... Watch the lighting.....
RAY	What is that?
REPORTER	That is them. They come down in capsules,  riding the lighting into the ground  into the machines right?
DRIVER	You hear that? We're getting the hell  out of here.
DRIVER	Come on! Get in! Get in! Get in!
REPORTER	Hey. Were you on that plane?
REPORTER	Oh, that's too bad, it would have been  a really great story.
RAY	Look at me. Look at me.
RAY	You keep your eyes only on me, you understand?
RAY	Don't look down, don't look around me.  I'm taking you to the car and you're  gonna want to look around. But you are  not going to, are you?
RAY	You're doing good. You're doing good.  Keep your eyes on me. We'll go right  to Boston, and we're gonna see your  mom.
RACHEL	I'm not gonna look, dad.
RAY	That's a girl. That's my girl.  Okay,  listen, I want you to close your eyes.  Got them closed?
RACHEL	Um-Huh.
RAY	There you go. Keep em' closed for me.
RAY	Robbie, get in.
RAY
RACHEL	Why are you yelling?
RAY	(to Rachel) It's okay. (to Robbie) Get  in!
ROBBIE	Why the hell aren't we on the turnpike?
RAY	Because I don't want everybody to see  we've got a working car. (going over  the plan) We'll stay along the Hudson  until we find an open bridge or ferry,  then we're gonna cross the Hudson. Then  take the back roads across Connecticut  all the way to Boston.
RACHEL	Where is everybody?
RAY	I don't know. Running, hiding, hiding  in their basements.
ROBBIE	If we had any balls, we'd go back there  and find one of those things and kill  it.
RAY	Yeah, well, why don't you just let me  make the big decisions, okay?
ROBBIE	Which would be when? Never Ray? Never's  about your speed.
RACHEL	Okay, enough Robbie!
RAY	(angrily) Okay! Enough with the Ray  shit!! It's dad, sir, or if you want  Mr. Ferrier. That sounds a little weird  to me but you decide.
RACHEL	Dad?!?!
RAY	Yes, Rachel.
RACHEL	I have to go to the bathroom.
RAY	Really?
ROBBIE	Come on. (tugs at his shirt sleeve which  Ray has a hold of) I gotta go!
RAY	Not so fast, not so fast, all right?  Now, there are two things we have to  watch out for, and the second is people  who might want our car.
ROBBIE	There's nobody around!
RACHEL	I gotta go.
RAY	(displeased) Rachel! Rachel, that's  good right there. (points to a spot  20' away)
RACHEL
RAY	All right, then just go where I can  see you!
RACHEL
RAY	I'm not gonna look! JUST STAY IN SIGHT!!
RACHEL
RAY	Listen. Every time you don't listen  to me, I'm telling your mother, okay?  I'm making a list. (reinforcing) I'm  making a list!
RAY	I told you to stay where I could see  you!
RACHEL	I'm sorry!
ROBBIE
ROBBIE
ROBBIE
SOLDIER	Watch it, kid! YOU'RE GONNA GET YOURSLELF
RAY
RAY
ROBBIE
RAY
ROBBIE
RAY
ROBBIE
RAY
ROBBIE
RAY
ROBBIE
RACHEL
RACHEL
RAY	If I close my eyes, why don't you drive  for a bit.
ROBBIE	I don't have a license.
RAY	Since when has that stopped you?
ROBBIE	Ray. (no response) Ray. (no response)  Dad!
ROBBIE	You think you could.... You think you  could...
RAY	Don't stop... don't take your foot off...  Okay. I got it... I got it....
RACHEL	Where's everybody going?
RAY	I don't know Rach.
RACHEL	But we do right?
RAY	Yeah, we do.
RACHEL	Why'd he do that?
RACHEL	Why is he doing that?
RAY	He wants a ride. Everybody just wants  a ride.
RACHEL	Can we give him one?
RAY	Just sit back and put on your seatbelt.  Robbie, put on your seatbelt.
RAY	Put on your seatbelt Rachel.
ROBBIE	Be careful.
RAY	I'm sorry, I can't. Please get away  from the car.
RAY
POLICE MAN 3	Stop the car!!
RAY AND ROBBIE TOGETHER
POLICE MAN 3	You could carry 20 people in there!
RAY AND ROBBIE TOGETHER
RACHEL	(screams) AHHHH!!
RAY	Oh hold on!!
ROBBIE	Look out! Look out!
RAY	(seeing a telephone pole) Oh, GOD!
RAY	Are you okay?
ROBBIE	(screams) AHHHHH!!!! RAY!!!
RAY
RAY
RACHEL
RAY	Rachel!! (grabs guy) GET OUT OF THERE!!!
RACHEL
RAY	(grasping his head in pain) AHHH!!!
RAY	(through a choking grip) Rachel, get  out of the car! GET OUT OF THE CAR RACHEL!!!
RACHEL
RAY	(pointing the gun at the people on the  roof of the car) GET OFF THE CAR!! GET
RAY	(continues) GET OFF THE CAR!! Move!!  Move!!
RAY	Where's my son?!?!
RIOT MAN 1	You don't need that, Man!
RAY
RIOT MAN 2	Put the gun down, man. It's not me!
RAY	(still determined to find Robbie) ROBBIE!!!
RACHEL
RIOT MAN 3	Okay, man, now listen. Put down the  gun. I'm taking the car.
RAY	My daughter's in the car...
RIOT MAN 3	(shaking the gun nervously) Put down  the gun, I'm taking the car.
RAY	All I want is my daughter....
RIOT MAN 3
RAY	Please, all I want is my daughter.
RIOT MAN 3	(surprisingly calm) I'm taking the car.
RAY	I just want my daughter. Please just  let me take my daughter, can I.... All  I want is my daughter.
RIOT MAN 3	Yeah. Okay, go ahead, take her, take  her, yeah, yeah....
RAY	Robbie!!
RACHEL	Looks like the power's still on here.
RAY	Yeah, power's still on because nothing  bad has come up from under the ground.
WOMAN	Unless you are O-positive and Rh negative,  thank you but we already have more blood  than we can use. Again... (repeats message)
HARBOR MASTER	Please move forward calmly, the boat  can make more than one trip. Please  move forward calmly, take your time,  don't rush. (repeats)
SHERYL	Ray! RAY?!?!
RAY	Sheryl?
SHERYL	Yeah.
SHERYL	Oh, my gosh, are these your kids?
RAY	Yes, this is Rachel.
SHERYL	Hi, I'm Sheryl, this is my daughter,  Nora.
RAY	Hi, I've heard about you, Nora.
RAY	This is my son, Robbie.
ROBBIE	Hi Sheryl.
SHERYL	He's just like dad.
SHERYL	How you doing? You look like shit.
RACHEL	(to herself) The trees are funny.
HARBOR MASTER	We're gonna move some cars out of the  way to make more space. Give us a few  minutes.
CAPTAIN
HARBOR MASTER
RAY	(to Sheryl) You just stay with me! Grab  my jacket!
SHERYL	I got you Ferrier. (trips) oh, Jesus!
RAY	You okay? Come on!
SHERYL	Jesus. Oh my god!
RAY	Come on.
SHERYL	Oh, Ray!! RAY!!!
SHERYL
RAY
SHERYL
RAY	There's room on the boat!!!
SHERYL
RAY
RACHEL
RAY	Stay with me! Stay with me Robbie!!!
RAY
RACHEL	(seeing Robbie running to the stern)  Robbie? Robbie!?!?!
RAY	Robbie!!!
RACHEL
ROBBIE	Here, grab my hand!! Hold on! I got  you! HOLD ON!!!
ROBBIE
CAPTAIN	Oh, my god!
RAY	(fearing danger to his son) ROBBIE!!!
RAY	Help me. Help me with her.
ROBBIE	(gagging) Okay.
RAY	Don't stop. Don't stop.
ROBBIE	(yells in pain) AHHH.
RACHEL	Robbie, slow down.
RACHEL	Robbie, slow down!!!
RACHEL	Robbie.
RAY	Robbie. We got to stay together Robbie.
RAY	Robbie! Stay together! ROBBIE!!!
RAY
RACHEL	Robbie!! NO!! ROBBIE!!! COME BACK!!!
RAY	ROBBIE!!! (sets Rachel down next to  a tree) NOW DON'T MOVE! FOR GOD'S SAKE,
RAY
RAY
RAY
RAY
RAY
ROBBIE
RAY
ROBBIE
RAY
ROBBIE
RAY
RAY
ROBBIE
RAY
ROBBIE
RAY	Just listen to me!
ROBBIE	I need to be here! I want to see this!
RAY	Wait, stay. Stay for Rachel. Stay for  your sister.
ROBBIE	Please let me go! You need to let me  go.
RAY
WOMAN	We thought she was alone... we....
RAY	Robbie?!?!
RAY
HARLAND	Over here! OVER HERE!!!
HARLAND	Hurry!!
HARLAND	(to Rachel) You all right?
HARLAND	(to Ray) And what about you?
RAY	(while Harland moves the wheel barrel)  (to Rachel) There you go. Is that comfortable?  I need you to close your eyes now, okay?  You need some sleep.
RACHEL	Dad?
RAY	He's gonna meet us. Hey, Robbie's gonna  meet us, Rach, In Boston, at your grandma's.
RACHEL	(about ready to cry) What do you think  mom's doing right this minute?
RAY	Mom? She's in Boston. Waiting. And I  know she's not sleeping 'cause she is  so worried about you. (trying to comfort  her) ... And she's in grandma's kitchen,  and she's making that awful tea that  she makes. And they're all just... ...  ...there all just counting the minutes  until they see you again.
RAY	(picking up the ribbon) What is this?  What... What is this?
RACHEL	I won.
RAY	You won?
RACHEL	The walk, trot, and canter. Third place.
RACHEL	Sing me "Lullaby and Goodnight"?
RAY	(shakes his head in displeasure because  he can't think of it) I don't remember  that one.
RACHEL	Sing me "Hushabye Mountain"?
RAY	I'm sorry Rach, I don't know that one  either.
RAY	(begins to sing) I'm not bragging, baby.  So don't put me down. Because I've got  the fastest set of wheels in the town.  Something comes up to me that don't  even try....
RAY	(continues singing) ... If I had a set  of wings, man, I know she could fly.  She's my little deuce coupe. You don't  know what I've got... just my little  deuce coupe. (now whispering) You don't  know what I've got....
HARLAND	Peach schnapps.
HARLAND	Disgusting, I know it. I found a whole  case of this shit.
RAY	Thank you.
HARLAND	I'm sorry about your son.
RAY	We got separated... he's gonna meet  us in umm... in Boston.
RAY	Did you... (pauses) ... (whispers) Did  you loose anybody?
HARLAND	All of them.
HARLAND	(introduces himself) Harland Ogilvy.
RAY	(introduces himself) Ray Ferrier.
HARLAND	I got water... Food.... Enough for weeks.  You're welcome to stay, both of yous.
RAY	I'm sorry. I'm gonna get some sleep.
HARLAND	(speaks loud enough to get Ray to pause)  Those machines, those tripods they got...  They buried them... right under our  feet. Since before there were even people  here. They've been planning this for  a million years. We're beat to shit.
RAY	Please, my daughter.
HARLAND	Think about it.    ...    They defeated  the greatest power in the world in a  couple days. Walked right over us.   they'll keep coming. This is not a war  any more than there's a war between  men and maggots. This is an extermination.
HARLAND	(feeling he's not grasping the reality)  Are you afraid?
RAY	Of course I am.
HARLAND	(going on) I been around death plenty.  Drive an ambulance in the city. Well,  drove and ambulance in the city. That's  all over now, huh?    ....   You know  the people who make it Ray? The ones  that don't flatline before the hospital?  It's the ones who keep their eyes open,  keep looking at you, keep thinking.  Ray.   ....   Running, that's what'll  kill you.    ......     I'm dead set  on livin'.
HARLAND	Hah. Dead set on Living.
RAY	Thank you for taking us in.
HARLAND	We're not going to be exterminated.
HARLAND	(with shotgun at side) It's okay! Come  on, I wanna show you something!
HARLAND	We're gonna fight them Ray. They gotta  have a weakness. Come on, take a look.
HARLAND	Somehow they killed a few of these things  in Osaka. That's what I heard. You telling  me the Japanese can figure it out but  we can't?
HARLAND	We can do it. We can get 'em. We can  figure it out.
RAY	Stay right there!
RAY	I have a daughter! Why did you bring  us here?
HARLAND	To fight 'em together, Ray.   ....   underground. When the time is right,  we'll take 'em by supries, the way they  took us. We'll take 'em by surprise.
HARLAND	We're right under their feet, Ray. Right  here, under their feet.
HARLAND	You miss your mommy? I had a little  girl nearly your age. You know, if anything  happens to your daddy, I'll take care  of you.
RAY	Rachel!
RAY	(distinctly angry, but not yelling)  You don't have anything to say to her,  do you understand? If you want to talk  to somebody, or ask somebody a question,  you ask me!
HARLAND	(also angry at Ray) What exactly is  your plan, Ray? I know what I'm gonna  do. How about you? You gonna sit here,  wait for them to come get you? Is that  your plan?
