HOUSE SERVANT'S VOICE	m	He will be saying prayers in the  garden -- just follow the others.
GANDHI	m	And a policeman passing an Indian  dwelling -- I will not call them  homes -- may enter and demand the  card or any Indian woman whose  dwelling it is.
A VOICE	m	God damn them!
GANDHI	m	Understand! He does not have to stand  at the door -- he may enter.
MERCHANT	m	I swear to Allah I will kill the man  who offers that insult to my home  and my wife! And let them hang me!
TYEB MOHAMMED	m	I say talk means nothing. Kill a few  officials before they disgrace one  Indian woman -- then they might think  twice about such laws!
TYEB MOHAMMED'S FRIEND	m	In that cause, I would be willing to  die!
GANDHI	m	I praise such courage. I need such  courage -- because in this cause, I  too am prepared to die... But, my friend, there is no cause  for which I am prepared to kill.
GANDHI	m	I have asked you here tonight because  despite all their troops and police,  I think there is a way to defeat  this law. Whatever they do to us we  will attack no one, kill no one...  But we will not give our fingerprints -- not one of  us.
GANDHI	m	They will imprison us, they will  fine us. They will seize our  possessions. But they cannot take  away our self-respect if we do not  give it to them.
VOICE FROM THE GALLERY	m	Have you been to prison? They'll  beat us and torture us! I say --
GANDHI	m	I am asking you to fight -- ! To fight against their anger -- not  to provoke it!
GANDHI	m	We will not strike a blow -- but we  will receive them. And through our  pain we will make them see their  injustice and it will hurt, as all fighting  hurts! ...But we cannot lose. We cannot. Because they may torture my body,  may break my bones, even kill me... They will then have my dead body --  not my obedience.
GANDHI	m	We are Hindu and Muslim -- children  of God, each of us. Let us take a  solemn oath in His name that -- come  what may -- we will not submit to  this law.
GANDHI	m	God save our gracious King... Long  live our ...noble King. God save the King!!
CIVILIAN	m	These men are contracted laborers.  They belong in the mines.
GANDHI	m	You have put their comrades in jail.  When you free them they will go back  to work.
CIVILIAN	m	I've warned you.
GANDHI	m	We have warned each other.
SINGH	m	I don't think that is very good.
SERGEANT	m	At the canter -- for-ward!
MINER	f	We should lie down -- the horses  won't tramp on us. Down! Down! Everyone lie down!
GANDHI	m	Lie down! Lie down!
MINER	f	The horses have more mercy than the  men.
SERGEANT	m	You're right!
GANDHI	m	Lie down! Lie down!
SERGEANT	m	Follow me!
SERGEANT	m	What the hell are we supposed to do  now?
CIVILIAN	m	Let them march... In our own sweet  time, in our own sweet way -- we'll  get them.
CHARLIE	m	Some of you may be rejoicing that  Mr. Gandhi has at last been put into  prison.
CHARLIE	m	But I would ask you -- assembled  here in this house of God -- to  recognize that we are witnessing  something new, something so  unexpected, so unusual that it is  not surprising the Government is at  a loss. What Mr. Gandhi has forced  us to do is ask questions about  ourselves.
CHARLIE	m	As Christians, those are difficult  questions to answer. How do we treat  men who defy an unjust law -- men  who will not fight, but will not  comply?
GANDHI	m	They're sparing no one, I see.
KHAN	m	No. You were the surprise. It's been  all over the prison. We thought they'd  be too afraid of the English press.
GANDHI	m	So did I.
KHAN	m	Don't worry about the meat -- it's  Hindu -- there's not a trace.
KHAN	m	I don't know who they've left out  there to do the work. There can't be  one mine left open. Have they touched  the women?
GANDHI	m	My wife publicly defied the law.  They've arrested her and four others.
KHAN	m	The fools! Sorry...
GANDHI	m	It's split the Government.
KHAN	m	Well, that's one victory.
GANDHI	m	If we hold firm, it won't be the  last.
KHAN	m	Don't worry -- I've never seen men  so determined. You've given them a  way to fight... And I don't think --
PRISON OFFICER	m	Gandhi! I want Gandhi! Which sammy  is it?
SMUTS	m	Ah, Mr. Gandhi. I thought we might  have a little talk.
SMUTS	m	Will you have a glass of sherry?
GANDHI	m	Thank you. No.
SMUTS	m	Perhaps some tea?
GANDHI	m	I dined at the prison.
SMUTS	m	Ahh.
SMUTS	m	Please -- please do come and sit  down. It's prison I wanted to talk  to you about.
SMUTS	m	Mr. Gandhi, I've more or less decided  to ask the House to repeal the Act  that you have taken such "exception"  to.
GANDHI	m	Well, if you ask, General Smuts, I'm  sure it will be done.
SMUTS	m	Hm. Of course it is not quite that  simple.
GANDHI	m	Somehow I expected not.
SMUTS	m	I'm glad to hear you say that...  very glad. You see if we repeal the  Act under pressure under this kind of pressure it will  create a great deal of resentment.  Can you understand that?
GANDHI	m	Very well.
SMUTS	m	Good. Good. I have thought of calling for a Royal  Commission to "investigate" the new  legislation. I think I could guarantee they would  recommend the Act be repealed.
GANDHI	m	I congratulate them.
SMUTS	m	But they might also recommend that  future Indian immigration be severely  restricted -- even stopped.
GANDHI	m	Immigration was not an issue on which  we fought. It would be wrong of us  to make it one now that we -- we are  in a position of advantage.
SMUTS	m	You're an extraordinary man.
GANDHI	m	I assure you I feel a very ordinary  man at this moment.
SMUTS	m	I'm ordering the release of all  prisoners within the next twenty- four hours. You yourself are free  from this moment.
SMUTS	m	Assuming we are in agreement?
GANDHI	m	Yes -- yes. It's just that... in  these clothes I'd -- I'd prefer to  go by taxi.
SMUTS	m	All right. Fine.
GANDHI	m	I'm -- I'm afraid I have no money.
SMUTS	m	Oh! Neither have I. I'm awfully sorry.
SMUTS	m	Daniels, would you lend Mr. Gandhi a  shilling for a taxi?
DANIELS	m	I beg your pardon, sir?
SMUTS	m	How far will you be going, Mr. Gandhi?
GANDHI	m	Well -- now that this is settled --  I had thought seriously of going  back to India but a shilling will do splendidly  for the moment.
GANDHI	m	Thank you. Thank you both for a very enlightening  experience.
GANDHI	m	I'm obliged, Mr. Daniels, but I will  find my own way out.
SMUTS	m	He's either a great man or a colossal  fraud... Either way, I shall be glad  to see the last of him.
YOUNG ENGLISHMAN	m	By God, he loves it...
SECOND ENGLISHMAN	m	I'm sure he hates it.
SECOND ENGLISHMAN	m	Generals' reputations are being made  in France today, fighting on the  Western Front. Not as Military  Governors in India.
SECOND ENGLISHMAN	m	What the devil's going on back there?
YOUNG ENGLISHMAN	m	It must be that Indian that made all  that fuss back in Africa. My cabin  boy told me he was on board.
SECOND ENGLISHMAN	m	Why haven't we seen him? Gandhi?
YOUNG ENGLISHMAN	m	Yes. That's it. He was traveling  Third Class. There he is.
SECOND ENGLISHMAN'S VOICE-OVER	m	God -- he's dressed like a coolie! I  thought he was a lawyer.
YOUNG ENGLISHMAN	m	After he came out of jail he refused  to wear European clothes.
GANDHI	m	No, no, I haven't "refused"... I --  I simply wanted to dress the way my  comrades in prison dressed.
ENGLISH JOURNALIST	m	Will you support the war effort, Mr.  Gandhi?
GANDHI	m	I -- I have demanded rights as a  British citizen, it is therefore my  duty to help in the defense of the  British Empire.
AMERICAN REPORTER	m	What are you going to do now that  you're back in India?
GANDHI	m	I don't know... I don't know...
SECOND INDIAN REPORTER	m	As an Indian woman how could you  accept the indignity of prison?
NEHRU	m	Please, Mr. Gandhi.
BA	f	My dignity comes from following my  husband.
NEHRU	m	Just a few words -- then we'll get  you to civilization.
GANDHI	m	I -- I am glad to be home. I -- I thank you for your greeting.
NEHRU	m	We'll follow with your wife -- don't  worry, everything's arranged.
GANDHI	m	Who is that young man?
PATEL	m	That's young Nehru. He's got his  father's intellect, his mother's  looks and the devil's charm. If they  don't ruin him at Cambridge -- Wave!  Wave! -- he may amount to something.
PATEL	m	I must say when I first saw you as a  bumbling lawyer here in Bombay I  never thought I'd be greeting you as  a national hero.
GANDHI	m	I'm hardly that, Mr. Patel.
PATEL	m	Oh, yes, you are. It's been two  hundred years since an Indian has  cocked a snoot at the British Empire  and got away with it. And stop calling  me Mr. Patel, you're not a junior  clerk anymore.
GANDHI	m	No.
PATEL	m	The new Military Governor of the  North West Province was on that ship.  Too bad you came back Third Class --  he might have been impressed by a  successful barrister who had  outmaneuvered General Smuts.
GANDHI	m	Yes... I'm sure...
MRS. NEHRU	f	No, I leave practical matters to my  husband and revolution to my son...
NEHRU	m	Mr. Jinnah, our joint host, member  of Congress, and the leader of the  Muslim League and Mr. Prakash, who I  fear is awaiting trial for sedition  and inducement to murder.
PRAKASH	m	I have not actually pulled a trigger,  Mr. Gandhi, I have simply written  that if an Englishman kills an Indian  for disobeying his law, then it is  an Indian's duty to kill an Englishman  for enforcing his law in a land that  is not his.
GANDHI	m	It is a clever argument; I am not  sure it will produce the end you  desire.
JINNAH	m	We hope you intend to join us in the  struggle for Home Rule, Mr. Gandhi.
CHARLIE	m	May I? Mohan -- I would like you to  meet someone.
NEHRU	m	He told the press he would support  the British in the war.
PRAKASH	m	That's non-violence for you.
JINNAH	m	Is he a fool?
NEHRU	m	I'm not certain... But I wouldn't be  surprised.
CHARLIE	m	I lied to you, Mohan, when I told  you I decided to come to South Africa  to meet you. Professor Gokhale sent  me.
GOKHALE	?	We're trying to make a nation, Gandhi --  and the British keep trying to break  us up into religions and  principalities and "provinces." What  you were writing in South Africa --  that's what we need here.
GANDHI	m	I have much to learn about India.  And I have to begin my practice again --  one needs money to run a journal.
GOKHALE	?	Nonsense. Go on, Charlie. This is Indian talk --  we want none of you imperialists.
CHARLIE	m	All right -- I'll go and write my  report to the Viceroy.
GOKHALE	?	Go and find a pretty Hindu woman and  convert her to Christianity -- that's  as much mischief as you're allowed.
GOKHALE	?	Forget your practice. India has many  men with too much wealth -- it is  their privilege to nourish the efforts  of the few who can raise India from  servitude and apathy. I will see to  it -- you begin your journal.
GANDHI	m	I have little to say. India is an  "alien" country to me.
GOKHALE	?	Well, change that. Go and find India.  Not what you see here, but the real  India. You'll see what needs to be  said. What we need to hear.
GOKHALE	?	When I saw you in that tunic I knew...  I knew I could die in peace. Make India proud of herself.
TROOP LEADER	m	Clear the way! Get out of the way!
GANDHI	m	I ask you to pray for those who died. For the English soldiers... who were doing what they thought was  right. And for the brave terrorists whose  patriotism led them to do what was  wrong.
GANDHI	m	It is not my law, it is the law of  creation. We reap what we sow. Out  there in the fields -- and in our  hearts. Violence sows hatred, and  the will to revenge. In them. And in  us.
PATEL	m	I agree with Jinnah. Now that the  Americans are in, the war will end  soon. The Germans are worn out as it  is... and our first act should be to convene  a Congress Party convention and demand  independence.
JINNAH	m	And we must speak with one voice --  united.
PATEL	m	Ah -- we should invite Gandhi. What  the devil has happened to him anyway?
NEHRU	m	He's "discovering" India.
JINNAH	m	Which is a lot better than causing  trouble where it matters. Invite him --  let him say his piece about South  Africa -- and then let him slip into  oblivion.
BA	f	Please! You're being foolish!
GANDHI	m	There's no room! And the air is  lovely.
CHARLIE	m	No violence, please.
GANDHI	m	Let me hang on with two hands or I  will fall.
INDIAN	m	Englishman Sahib!
INDIAN	m	Come! Come! There is room!
FIRST INDIAN	m	Place the foot on the window.
GANDHI	m	What are you doing?
CHARLIE	m	Going nearer to God!
BA	f	Charlie! Be careful!!
CHARLIE	m	Mohan -- !!
GANDHI	m	Let go! You'll kill him!
GANDHI	m	Let go! Let go!
FIRST INDIAN	m	You see -- most comfortable.
BA	f	Please, God, no!
SECOND INDIAN	m	Are you Christian, Sahib?
CHARLIE	m	Yes, yes, I'm a Christian.
SECOND INDIAN	m	I know a Christian. She drinks blood.
SECOND INDIAN	m	The blood of Christ -- every Sunday!
GANDHI'S VOICE	m	Charlie!!
FIRST INDIAN	m	It's all right, Sahib! Very safe --  bend -- bend!
INDIAN'S VOICE	f	Pray to God, Sahib! Now is when it  is best to be Hindu!
JINNAH	m	We were asked for toleration. We  were asked for patience. Some gave  it and some did not. Well, their war  is over! And those of us who supported  it, and those of us who refused must  forget our differences!
JINNAH	m	And there can be no excuses from the  British now! India wants Home Rule!  India demands Home Rule!!
PATEL	m	And let no one question that Mr.  Jinnah speaks not just for the Muslims --  but for all India!
PATEL	m	And now I'm going to introduce to  you a man whose writings we are all  becoming familiar with... a man who  stood high in the esteem of our  beloved Professor Gokhale... a man  whose accomplishment in South Africa  will always be remembered. Mr.  Mohandas Gandhi.
PATEL	m	Your journal has made a great impact.
GANDHI	m	I am flattered by Mr. Patel I would be even more flattered if  what he said were true.
PATEL	m	But it's true! I -- I read it...  often.
GANDHI	m	Since I returned from South Africa,  I have traveled over much of India.  And I know I could travel many more  years and still only see a small  part of it.
GANDHI	m	...and yet already I know what we  say here means nothing to the masses  of our country.
GANDHI	m	Here we make speeches for each other --  and those English liberal magazines  that may grant us a few lines.
GANDHI	m	But the people of India are untouched.  Their politics are confined to bread  and salt.
GANDHI	m	Illiterate they may be, but they are  not blind. They see no reason to  give their loyalty to rich and  powerful men who simply want to take  over the role of the British in the  name of freedom.
GANDHI	m	This Congress tells the world it  represents India. My brothers, India  is seven hundred thousand "villages"  not a few hundred lawyers in Delhi  and Bombay. Until we stand in the  fields with the millions who toil  each day under the hot sun, we will  not represent India -- nor will we  ever be able to challenge the British  as one nation.
NEHRU	m	Have you read his magazine?
PATEL	m	No -- but I think I'm going to.
FIRST FRIEND	m	This can't be the way!
SECOND FRIEND	m	Yes, I'm sure this is the direction  India is taking.
SECOND FRIEND	m	To think I almost got excited by Mr.  Jinnah when all this was awaiting  me.
NEHRU	m	We're looking for Mr. Gandhi!
CHARLIE	m	Ah, you'll find him under the tree  by the river. You'd better leave the car -- the  ground is rather soft.
NEHRU	m	Thank you . . .
FIRST FRIEND	m	Come on! I'm anxious to meet this  new "force"!
GANDHI	m	I try to live like an Indian, as you  see... it is stupid of course, because  in our country it is the British who  decide how an Indian lives -- what  he may buy, what he may sell. And  from their luxury in the midst of  our terrible poverty they instruct  us on what is justice and what is  sedition. So it is only natural that our best  young minds assume an air of Eastern  dignity, while greedily assimilating  every Western weakness as quickly as  they can acquire it.
NEHRU	m	If we have Home Rule that will change.
GANDHI	m	Would you, please?
GANDHI	m	And why should the English grant us  Home Rule? Here, we must take the  peelings to the goats.
GANDHI	m	We only make wild speeches, or perform  even wilder acts of terrorism. We've  bred an army of anarchists but not  one single group that can really  fight the British anywhere.
NEHRU	m	I thought you were against fighting.
GANDHI	m	Just spread it around -- they like  the new peelings mixed with the  rotting ones.
GANDHI	m	Where there is injustice, I've always  believed in fighting. The question is do you fight to change  things, or do you fight to punish. For myself, I have found that we are  all such sinners we should leave  punishment to God. And if we really  want to change things there are better  ways of doing it than by derailing  trains or slashing someone with a  sword.
BA	f	The fire is ready.
GANDHI	m	You see, even here we live under  tyranny.
NEHRU	m	I told you...
FIRST FRIEND	m	Hm... but look at him. Some "fighter"!  I can see the British shaking now.
BA	f	But it's the ink that is the most  diffic --
SHUKLA	m	I am looking for Mr. Gandhi...
SHUKLA	m	...I've wanted to speak to you for a  long time.
SHUKLA	m	...our crops... we can't sell them...  We have no money... but the landlords  take the same rent.
ENGLISH CAPTAIN	m	Clear the way there! Get out of the  way!
SERGEANT PUTNAM	m	Sir! Up here!
ENGLISH CAPTAIN	m	Give me a leg up, will you!
ENGLISH CAPTAIN	m	What the hell is it, Sergeant?
ENGLISH CAPTAIN	m	Jesus...!
ENGLISH CAPTAIN	m	What the hell is going on?
SERGEANT PUTNAM	m	I don't know, sir. The agent says  they got a telegram and it just said,  he is coming... and gave the time of  the train.
ENGLISH CAPTAIN	m	Who the hell is he?
SERGEANT PUTNAM	m	I don't know, sir.
ENGLISH CAPTAIN	m	Who the devil are you?
GANDHI	m	My name is Gandhi. Mohandas K. Gandhi.
ENGLISH CAPTAIN	m	Well, whoever you are, we don't want  you here. I suggest you get back on  that train before it leaves the  station.
GANDHI	m	They seem to want me.
ENGLISH CAPTAIN	m	Now look here. I'll put you under  arrest if you'd prefer?
