ATTENDANT	?	Dr. Furtw�ngler, the Reichsminister.
STEVE	m	Rudolf Otto Werner. Wind section  since 1936. What instrument did  you play?
WERNER	m	First oboe.
STEVE	m	I have your questionnaire here. It  says you were never a member of  the Nazi Party.
WERNER	m	Absolutely not.
WERNER	m	No, I was never a Nazi, I have no  interest in politics, I'm a musician -
STEVE	m	Hey, hey, slow up, Fraulein Straube  has to take down what you say.
WERNER	m	Straube? Any relation to Colonel  Joachim Straube?
EMMI	f	My father.
WERNER	m	It's a great honour to meet you,  Fraulein. Your father was a great  patriot.
WERNER	m	Dr. Furtw�ngler is a great musician.  He actively opposed the Nazis and  later on he helped many Jews to  escape.
STEVE	m	Then how do you explain him being  made a Prussian Privy Councillor?
WERNER	m	It was Hermann Goering. I was told  he just made the maestro his Privy  Councillor, no questions asked.  Although Dr. Furtw�ngler stood up  to him. And to Dr. Goebbels.
STEVE	m	He also conducted for Hitler, didn't  he?
WERNER	m	Yes, that's true, but he refused  to give the Nazi salute. He kept  his baton in his right hand. In  Hitler's presence. That was a brave  act...
STEVE	m	Brave?  To celebrate Hitler's  birthday with some heroic piece by  Wagner but without the Nazi salute?  Bravo.
WERNER	m	It was Beethoven's Ninth.
STEVE	m	Do you really think it was brave?  Didn't he bow to him and shake his  hand?
SCHLEE	f	No, no, no, I give you my word. I  was never a member of the Nazi  Party. Never. I am in the percussion  section. I play the timpani.
SCHLEE	f	Anyway, they would never have  allowed it. My brother was married  to a Jewess, may she rest in peace.  And Goebbels said... ...please take this down carefully,  because it's most important,  Fraulein?
EMMI	f	Straube.
SCHLEE	f	Straube? Are you by any chance  related to Colonel Joachim Straube?
EMMI	f	My father.
SCHLEE	f	He was... he was a great hero.
SCHLEE	f	Goebbels, yes, Josef Goebbels said,  'There's not a single filthy Jew  left in Germany on whose behalf  Dr. Furtw�ngler has not intervened.'  No, no one could have been less of  a Nazi than Dr. Furtw�ngler.
STEVE	m	But this was the same guy who  conducted for Adolf on his birthday.
SCHLEE	f	He was forced to do that. But he  refused to give the Nazi salute in  front of Hitler. He kept his baton  in his hand, you can't salute with  a baton in your hand.
DAVID	m	And what about the Nuremberg Rally?
SCHLEE	f	No, we...we played on the evening  before the Rally.
STEVE	m	Oh! The evening before, I see...
SCHLEE	f	Yes, Dr. Furtw�ngler was absolutely  clear about this: politics and art  must be kept separate.
STEVE	m	Politics and art must be kept  separate. I'll remember that. But  let me see if you can help me with  something I just don't understand.  I'd really like to know why all  you guys are so crazy about him.  What's his secret?
SCHLEE	f	Well, it's hard to explain. I can  only tell you from my own  experience. Soon after I joined  the orchestra, we were rehearsing  the Third Symphony of Beethoven,  the Eroica. There are several rather  difficult passages for the timpani.  One particular crescendo. During  the break, I asked how he wanted  it played. He was studying his  score. He didn't look up. He said,  'Just watch me.'  So, of course, I  did. I never stopped watching him.  The moment came. And suddenly, he  turned to me and our eyes were  locked. There was something in his  look that...  that simply demanded  the crescendo. I shall never forget  his look. It was a moment of... of  magic.
STEVE	m	You ever seen Adolf Hitler's eyes  when he was making a speech? I've  seen 'em on films.
SCHLEE	f	Yes.
STEVE	m	Was looking at Furtw�ngler like  that?
SCHLEE	f	I don't know what you mean, Major.
STEVE	m	When you got to the crescendo.
STEVE	m	You think a whole orchestra, what,  a hundred and forty or so guys,  could be orchestrated?
DAVID	m	I guess it's possible.
STEVE	m	So, what does the Russki want?
DAVID	m	Colonel Dymshitz asked specially  to see you.
STEVE	m	'Dim-shits'?
STEVE	m	What the hell are they doing?
DAVID	m	They're trying to sort out some of  the works of art the Nazis stole  from occupied territories. Who  really owns what? That's Colonel  Dymshitz, on the far side.
DAVID'S VOICE	m	art historian, head of the famous  Leningrad Museum of Art. He is an  expert on German culture.
VERNAY	m	Je suis navr�, Colonel, cette  peinture n'est pas la propri�t� de  I'union sovi�tique mats bien cette  de la France.
GREEN	m	What's he saying? Henri, what is  you saying?
AMERICAN AIDE	m	He's saying that picture is the  property of France
VERNAY	m	C'est un Braque qui avec Picasso  �tait un des pionniers du cubisme.
DYMSHITZ	?	I know who Georges Braque is,  Captain.
AMERICAN AIDE	m	It's a Barque.
FRENCH AIDE	m	We can produce the provenance of  this Braque, you say provenance?
DYMSHITZ	?	Hello, Major, my name is Dymshitz.  I'm glad to see you.
STEVE	m	Colonel. Pleasure.
DYMSHITZ	?	So, Major, tell me, have you  questioned Dr. Furtw�ngler?
STEVE	m	Not yet.
DYMSHITZ	?	I've had two meetings with him.  He's a great musician. Maybe the  greatest conductor in the world.  His Brahms, Beethoven, Schubert -  unequalled.
DYMSHITZ	?	I'll come straight to point. I've  offered him a very attractive  position. Conductor of the  Staatsoper Unten den Linden. He  refused. But I want him. I want  him badly. And I want your help.
GREEN	m	Hey, just a moment, you should  have discussed this with me first.
DYMSHITZ	?	I'm discussing it with you now.  Major, I want you to drop your  investigation, save everybody time  and trouble.
GREEN	m	We can't drop a case just like  that.
DYMSHITZ	?	I'll give you another conductor in  exchange or writer, musician, actor  what...what do you care?  But I  like Furtw�ngler. He's my favourite  conductor. Mine and Hitler's. He's our  favourite conductor.
DAVID	m	I clicked my heels, saluted and  bowed at the same time.
EMMI	f	That's because you had a proper  upbringing.
DAVID	m	That's right. I was raised very  strictly. So don't speak before  you are spoken to!
EMMI	f	Oh! And don't wave your hands about!
DAVID	m	Respect your elders and your  betters!
EMMI	f	And no elbows on the table!
DAVID	m	Eating is eating... and...
EMMI	f	And talking is talking! Well, I  think we better get on.
DAVID	m	Right. So, this is going to be  very formal, too, now. Lieutenant  David Wills requests die pleasure  of die company of Fraulein Emmi  Straube at dinner any night she  cares.
STEVE	m	David, need to ask you something.  You heard this rumour the British  found something called the Hinkel  Archive?
DAVID	m	Yes.
STEVE	m	So what is it?
DAVID	m	The British occupy the building  where this guy, Hinkel, ran the  Nazi Ministry of Culture and it  seems they've... they've discovered  his secret archive.
STEVE	m	What's that mean?
DAVID	m	I don't know, but the British are  excited about it, I know that. The  rumour is Hinkel kept a file on  every artist working in the Third  Reich.
STEVE	m	Jeez. And you think the British'll  share it with their Allies?
DAVID	m	Major Richards said he'd call to  let us know.
STEVE	m	That's big of him.
STEVE	m	Okay, better question the next  witness. I bet you a bottle of  French champagne he tells us the  baton story inside ten minutes.
DAVID	m	Five minutes.
STEVE	m	It's a bet. You're the witness,  Emmi.
STEVE	m	Helmuth Alfred Rode. Second  violinist since 1935. What's it  mean, second violinist?
RODE	m	It means I wasn't good enough to  be a first violinist.
STEVE	m	Good, and according to your  questionnaire, Helmuth, you never  joined the Nazi Party.
RODE	m	Me? Never.  Never.
RODE	m	I... I know everyone now says they  were never Nazis but in my case it  is absolutely one hundred per cent  true. I am a Catholic, it would  have been totally against my  conscience.
RODE	m	Is it true you're going to interview  Dr. Furtw�ngler today?
STEVE	m	I'll ask the questions, Helmuth.
RODE	m	Excuse me. Did you know that he  refused to give the Nazi salute  when Hitler was present in the  audience?
RODE	m	The problem was how could he avoid  giving the Devil's salute when  Satan was actually sitting there. And, I said, 'Dr. Furtw�ngler, why  not enter with the baton in your  right hand? Hitler will be sitting  in the front row. If you give the  salute with the baton in your right  hand it'll look like you're going  to poke his eyes out.'
RODE	m	He was...He was really grateful to  me for that. After the concert,  I... I stole that baton as a memento  of a great act of courage. I still  have it. I should have brought it  to show you. I hope I'm not going  too fast for you, Fraulein?-
EMMI	f	Straube.
RODE	m	Straube. Any relation to Colonel  Joachim Straube?
EMMI	f	My father.
RODE	m	I am deeply honoured to be in your  presence, Fraulein Straube. Your  father was a true patriot, a man  of God.
STEVE	m	You have a question for Helmuth,  David?
DAVID	m	Yes. What was the orchestra's  reaction when they asked you to  play for Hitler's birthday?
RODE	m	Oh, we didn't play for his birthday,  we played the evening before - it  was the 19th of April not the 20th.
STEVE	m	Do you know Hans Hinkel?
RODE	m	Do I know Hans Hinkel?
STEVE	m	That's what I asked.
RODE	m	Do I know Hans Hinkel?
STEVE	m	You seem to understand the question,  now how about answering it?
RODE	m	Hans Hinkel was in the Ministry of  Culture; how could I know such a  man?  I
RODE	m	I hear the British have his... his  archive, files, records.
STEVE	m	Do you know what's in this archive?
RODE	m	How could I know what's in the  archive?
STEVE	m	Okay, you can go now, Helmuth. Get  out.
FURTW�NGLER	?	Furtw�ngler.
EMMI	f	Major, Major... he's here ...
STEVE	m	Shut the door, Emmi. Sit down,  Emmi. We're going to keep him  waiting, too.
STEVE	m	Emmi, get us some coffee, will  you? And, Emmi, don't offer him  coffee. Don't even greet him, okay?
FURTW�NGLER	?	Fraulein?
FURTW�NGLER	?	How long am I to be kept waiting?
STEVE	m	Okay, Emmi, go get him.
EMMI	f	Dr. Furtw�ngler.
STEVE	m	I didn't hear anyone invite you to  sit down.
STEVE	m	Sit there.
STEVE	m	I want you to understand why you're  here. You're automatically banned  from public life under Control  Council Directive No 24. We're  here to look into your case before  you appear in front of the Tribunal  for Artists of the Denazification  Commission. You understand that?
FURTW�NGLER	?	I have already been cleared by a  Denazification Tribunal in Austria.
STEVE	m	What they do in Austria doesn't  interest me one little bit. Okay?   I have your questionnaire here, Gustav Heinrich Ernst Martin Wilhelm  Furtw�ngler, born Berlin, January  1886. Orchestral conductor. And  you say here you were never a member  of the Nazi Party.
FURTW�NGLER	?	That is correct.
STEVE	m	Could you tell us about being made  a Prussian Privy Councillor. How  did that happen to a non-Party  member?
FURTW�NGLER	?	I received a telegram from Hermann  Goering informing me that he had  made me a Privy Councillor. I was  not given the opportunity either  to accept or refuse. After the  dreadful events of November 1938,  the violent attacks on the Jews, I  stopped using the title.
STEVE	m	What about Vice-President of the  Chamber of Music, you used that  title didn't you? But then I suppose  you had no choice there either,  because I suppose Dr. Goebbels  just sent you a telegram saying,  Dear Mr. Vice-President.
FURTW�NGLER	?	I don't think Dr. Goebbels sent me  a telegram. I was simply told. In  a letter, I believe. I don't  remember exactly.
STEVE	m	Goebbels and Goering were sure  heaping honours on you. One makes  you a Privy Councillor, the other  makes you Vice-President of the  Chamber of Music, and you weren't  even a member of the Party, how do  you explain that?
FURTW�NGLER	?	Well, there was a constant battle  between Goering and Goebbels as to  which of them would control German  culture. I was simply a pawn.   Anyway, I resigned from the  Musikkammer at the same time I  resigned as Musical Director of  the Berlin Philharmonic Orchestra.  In 1934.
DAVID	m	Why was that? Why did you resign,  Dr. Furtw�ngler?
FURTW�NGLER	?	I wrote an open letter to the  newspapers condemning what they  were doing to music, making these  distinctions between Jews and non- Jews. For my part, the only divide  in art is between good and bad.  Eventually, Goebbels summoned me  and told me I could leave the  country if I wanted to but under  no condition would I ever be allowed  to return. I always believe that  you have to fight from the inside  not from without. I asked myself,  what's the duty of an artist, to  stay or to leave? And then Goebbels  demanded that I acknowledge Hitler  as solely responsible for cultural  policy. Well, that was a fact and  it seemed pointless to deny it. I  simply acknowledged that Hitler  and the Minister of Culture  appointed by him were solely  responsible for the cultural policy  of the Reich. What I wanted to  express was that I, personally,  had no responsibility whatsoever  for their cultural policy. I have  always had the view that art and  politics should... should have  nothing to do with each other.
STEVE	m	Then why did you conduct at one of  their Nuremberg rallies?
FURTW�NGLER	?	I did not conduct at at the rally,  I conducted on the evening before  the rally.
STEVE	m	That sounds like the small print  in one of our insurance policies,  Wilhelm. And what about April 19,  1942?  The eve of Hitler's fifty- third birthday, the big celebration;  you conducted for Hitler, didn't  you? Was that in keeping with your  view that art and politics have  nothing to do with each other?
FURTW�NGLER	?	That... that was a different matter,  I... I was tricked.
STEVE	m	How come?
FURTW�NGLER	?	Could I have a glass of water,  please? Please, Fraulein?
EMMI	f	Straube.
FURTW�ANGLER	?	Thank you. I was in Vienna,  rehearsing the Ninth Symphony of  Beethoven, when Goebbels called  and said I had to conduct at  Hitler's birthday. I'd always  managed to wriggle out of such  invitations, pleading previous  engagements, illness, having my  doctors state I was not well and  so on and so on. I was also  fortunate that Baldur von Shirach,  who controlled Vienna, hated Dr.  Goebbels and would do anything to  thwart his wishes. But this time  Goebbels got to my doctors before  me; they were frightened off, and  von Schirach was threatened, bullied  and gave in. So, I had no  alternative but to conduct for  Hitler. Believe me, I knew I had  compromised, and I deeply regret  it.
STEVE	m	Doesn't sound much of a trick to  me. Sounds like you made a deal.
FURTW�NGLER	?	I made no deal!
STEVE	m	I don't buy that.
FURTW�NGLER	?	It's the truth.
STEVE	m	I keep hearing you helped a lot of  Jews to escape. How did you do  that?
FURTW�NGLER	?	I don't remember in detail, there  were so many.
STEVE	m	Did you call someone you knew?
FURTW�NGLER	?	I may have, as... as I said, I  simply don't remember.
STEVE	m	Let me me help you, then. You picked  up the phone and made a call - 'Hello, Adolf? Wilhelm speaking.  Listen, old pal, there's a Jew-boy  musician I want you to help. He  needs a permit to get to Paris.'
STEVE	m	Or maybe you called Goebbels or  Goering? You were so close you  were in the same shithouse as them.
FURTW�NGLER	?	May I ask a question?
STEVE	m	Sure.
FURTW�NGLER	?	When will my case be heard by the  Tribunal?
STEVE	m	Your guess is as good as mine.
FURTW�NGLER	?	I need to work. I need to make my  living. I live off the generosity  of friends...
STEVE	m	Tough, tough!
FURTW�NGLER	?	Then why is it, please, that another  conductor who was actually a member  of the Party, who used to play the  Horst Wessel before his concerts,  has already been cleared and is  working again while I have to wait  and wait and wait?
STEVE	m	I don't know, he wasn't my case.  Why did you escape to Switzerland  just before the war ended?
FURTW�NGLER	?	It was because I learned that the  Gestapo was about to arrest me.
STEVE	m	Why were they going to arrest you?
FURTW�NGLER	?	I believe it was because of another  letter I'd written to Goebbels  lamenting the decline of musical  standards due to racial policies.
STEVE	m	You didn't complain about the racial  policies, just about the musical  standards, is that right?
STEVE	m	So, how did you learn that the  Gestapo was out to get you?
FURTW�NGLER	?	During an enforced hour-long  interval because of a power failure  at a concert here in Berlin, Albert  Speer, the Minister of Armaments,  said to me, 'You look very tired  Dr. Furtw�ngler, you should go  abroad for a while.' I knew exactly  what he meant.
STEVE	m	You sure knew a lot of people in  high places.
FURTW�NGLER	?	It would be truer to say, I think,  that a lot of people in high places  knew me.
STEVE	m	You were real close to all of them,  to Adolf, to Hermann, to Joseph,  to Baldur, and now Albert, So, let's hear the truth, let's  come clean. What was your Party  number?
FURTW�NGLER	?	If you are going to bully me like  this, Major, you had better do  your homework. You obviously have  no idea how impertinent and stupid  your questions are.
STEVE	m	David, you remember I said I had a  question that he wouldn't be able  to answer? Well, I'm gonna ask it  now.  You ready for this, Wilhelm?  It's a tough one. Why didn't you  get out right at the start when  Hitler came to power in 1933? Why  didn't you leave Germany?
STEVE	m	I have a list of names here, people  in your profession, who got out in  '33. Bruno Walter, Otto Klemperer,  Arnold Schoenberg, Max Reinhardt...
FURTW�NGLER	?	They were Jews, they had to leave.  They were right to leave. I could not leave my country in  her deepest misery. After all, I  am a German.  I... I stayed in my  homeland. Is that my sin in your  eyes?
STEVE	m	See, David? He can't answer the  question. I'll ask it again,  Wilhelm, and don't give me any  more airy-fairy, intellectual  bullshit!
EMMI	f	Major Arnold's office. Yes, he is.
EMMI	f	It's Major Richards for Lieutenant  Wills.
DAVID	m	David Wills. Yes, sir. Well, you want me to tell him?  Okay, Major Richards wants a word with  you, sir.
STEVE	m	Why can't he just ask for me? Why  does he have to ask for you first?  Goddamn British, so correct!
STEVE	m	Steve Arnold...
FURTW�NGLER	?	I've had enough of this, I'm  leaving.
DAVID	m	Dr. Furtw�ngler!  Dr. Furtw�ngler!  Please, please... Don't. It's not advisable.
DAVID	m	When I was a child, my father, he  took me to... he took me to one of  your concerts. I remember you  conducted Beethoven's Fifth  Symphony. I was deeply moved. And  I've loved music ever since. I was  grateful to you. And I've admired  you. How could you... how could  you serve those criminals?
STEVE	m	How many?  Jesus, that's dynamite! Okay.
EMMI	f	Dr. Furtw�ngler.
STEVE	m	Well now. Aren't we all sociable?
STEVE	m	I've got to hand it to the British,  David. You know what those guys  are?  Decent. Tell me, Herr Dr. Furtw�ngler, do  you know Hans Hinkel?
FURTW�NGLER	?	Yes, a despicable human being. He  was in the Ministry of Culture.  His job was to get rid of Jews in  the arts.
STEVE	m	Yup, that's him, that's the guy.  You know what else the little creep  did? He kept files, close on 250,000  files. And you know what's in those  files?
FURTW�NGLER	?	Certainly not, but I knew he had  informers everywhere. Even in my  orchestra there was someone
STEVE	m	Who?
FURTW�NGLER	?	I wasn't told. I just knew it.
STEVE	m	How?
FURTW�NGLER	?	I was warned.
STEVE	m	Who warned you?
FURTW�NGLER	?	Goering. Because Hinkel was working  for Goebbels.
STEVE	m	What did Goering say?
FURTW�NGLER	?	He told me to be careful as one of  Goebbels' men was watching me. He  read a report on me - everything I  said was quoted word by word.
STEVE	m	Oh boy, you're gonna love this.  Take your time with this now. Those  files contain the details of every  working artist in this country.  Those files are gonna tell us who  joined the Party, who informed and  who was helpful.
SECURITY	m	Your name, please.
DAVID	m	David Wills.
SECURITY	m	Over there.
STEVE	m	Fantastic! The only condition is  we have to do the work here. I  want you to collect all the files  on the boys in the band.
EMMI	f	Maybe you can have a look at this.
DAVID	m	Schubert.
DYMSHITZ	?	Dr. Furtw�ngler -
DYMSHITZ	?	Moving, you agree? Whenever I hear  Schubert I am moved.  You agree?
FURTW�NGLER	?	The tempi were a little too correct  for my taste. But I expect that is  because of the rain.
DYMSHITZ	?	Wait, Doctor, I understand you  have difficulties with the  Americans. I want you to know, I  am your champion. We can help.
EMMI	f	What does he mean, too correct?
DAVID	m	I don't know.
STEVE	m	Well, what is this, the office  party?
STEVE	m	May I join you? So, what have you two been up to  tonight? Hey. Don't I owe you a  bottle of French champagne?
STEVE	m	You know, David, you're a lucky  guy. I invited Emmi here but she  turned me down. You must've hidden  depths, David...
STEVE	m	C'mon, Emmi, let's dance. I'll  teach you how to jive.
DAVID	m	I'm very sorry, Major, but I  promised her mother, we have to  go.
EMMI	f	Don't see me to my door, there's  no need.
DAVID	m	But I promised your mother.
EMMI	f	Well, sleep well.
EMMI	f	Excuse me, Major. I found this on  Helmuth Rode. You remember? The  second violinist? Look, he's  Austrian not German. But it's this  that's more important, I think...
AN OFFICER	m	Sssh!
SERGEANT	m	Lieutenant Wills, telephone -
THE OFFICER	m	What is this, a railway station?
DAVID	m	David. Wills. Hello? Who? Who in  Wiesbaden?
RODE	m	Major.
STEVE	m	Helmuth.
RODE	m	Guess what I am holding in my hand.  You like guessing games?
STEVE	m	Love 'em, Helmuth. I give up. What  are you holding in your hand?
RODE	m	It's Dr. Furtw�ngler's baton, which  I stole.
STEVE	m	The one he kept in his right hand.   Yes, you remember.
RODE	m	Yes, you remember.
STEVE	m	How could I forget?
STEVE	m	Show me.
RODE	m	Show you?
STEVE	m	Yeah, show me, I want to see you  do it. Pretend I'm Adolf. You're  the maestro, and you have the baton  in your right hand, but you give  me the salute just the same.
RODE	m	Not here, Major, there are people,  if anybody should see... please,  please, Major...
STEVE	m	Do it, Helmuth.
STEVE	m	Do it right.
STEVE'S VOICE	m	You look great doing that.
STEVE	m	And I see what you mean. You nearly  poked my eyes out.
RODE	m	Exactly.  Replaces the baton, gives  Steve the case.
STEVE	m	Don't worry, Helmuth, it'll be our  secret.
BOY	m	Mister, mister, here, here,  mister!!!
STEVE	m	Great catch, kid. The boy runs  off.
RODE	m	So. You wanted to see me.
RODE	m	You usually don't work on Sunday,  Major?
STEVE	m	All in the cause of humanity,  Helmuth. Or should I call you one- zero-four-nine-three-three-one?
RODE	m	What?
STEVE	m	One-zero-four-nine-three-three- one. Or d'you mind if I just call  you 'one'?
STEVE	m	You know what I say you are,  Helmuth? I say you're a piece of  shit.
RODE	m	That bastard!
STEVE	m	Who's the bastard, Helmuth? Hinkel?
STEVE	m	Why? He promised to remove your  file?
STEVE	m	And what about before that? What  were you a member of in Austria?
STEVE	m	Was a member of...?  Speak up?
RODE	m	(barely audible) I was a member of the Communist  Party. I was a communist. That's  what Hinkel had over me. He knew  everything. He held that over me.  That's how he made me co-operate.
STEVE	m	Oh, I see, he made you co-operate.  And now are you a communist again?
RODE	m	You don't know what it's like to  wake up every single morning of  your life terrified, you don't  know that -
RODE	m	I would never, in my wildest dreams,  have ever been a second violinist  in the Berlin Philharmonic. When  they got rid of the... the Jews in  the orchestra, it gave people like  me a chance.
STEVE	m	Helmuth, you ever heard of plea- bargaining?
STEVE	m	Talk about power, I have the power  to give you work, make your life  easier. Your past won't be  mentioned. I could give you a job  tomorrow but I have to get something  in return. See, Helmuth? That's  plea-bargaining.
STEVE	m	I can give you freedom of movement,  freedom to work, freedom, Helmuth.  But I need something in return.
RODE	m	Major, we're discussing a man of  genius, I don't want...
STEVE	m	Fuck that, Helmuth. You want to  discuss symbols here?  This guy  was a front man. He was the piper,  but he played their tune, you get  my philosophical meaning?  I'm not  interested in small fish, I'm after  Moby Dick. Come on, Helmuth. Hard  facts.
RODE	m	The only thing I know is he's an  anti-Semite.
STEVE	m	Of course. You, too. Like everyone  else in this goddamn country.
RODE	m	I've remembered something else...
STEVE	m	Yeah?
RODE	m	Furtw�ngler sent Hitler a telegram  for his birthday.
STEVE	m	He did?
RODE	m	One of your people told me.
STEVE	m	One of my people?
RODE	m	Yes. A corporal. US Army. A Jew.  He said he'd seen the telegram in  the Chancellery.
STEVE	m	Son-of-a-gun. We'll find the  corporal and we'll find the  telegram.
STEVE	m	But I need documentary proof. You  know of anything like that?
RODE	m	No. But that's why we hated him.  We admired him as a conductor but  we all hated him too because he  didn't have to join the Party and  yet he had a better life than any  of us. He didn't have to go and  deliver a report after every trip  abroad. He got everything from  them, everything. He was filthier  than any of us Party members.
RODE	m	There's a rumour... I don't know  if it's true or not... but ask him  about von der Null.
STEVE	m	Never heard of him, who is he?
